timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.855670e+02,3.149009e-03,3.149009e-03,3.149009e-03,3.149009e-03
6.804738e+02,2.536873e-03,2.536873e-03,2.536873e-03,2.536873e-03
9.597726e+02,2.179384e-03,2.179384e-03,2.179384e-03,2.179384e-03
1.238028e+03,1.926259e-03,1.926259e-03,1.926259e-03,1.926259e-03
1.507585e+03,1.733246e-03,1.733246e-03,1.733246e-03,1.733246e-03
1.774541e+03,1.556165e-03,1.556165e-03,1.556165e-03,1.556165e-03
2.046944e+03,1.431546e-03,1.431546e-03,1.431546e-03,1.431546e-03
2.313801e+03,1.333924e-03,1.333924e-03,1.333924e-03,1.333924e-03
2.583524e+03,1.245791e-03,1.245791e-03,1.245791e-03,1.245791e-03
2.849424e+03,1.169470e-03,1.169470e-03,1.169470e-03,1.169470e-03
3.118133e+03,1.104531e-03,1.104531e-03,1.104531e-03,1.104531e-03
3.385670e+03,1.048481e-03,1.048481e-03,1.048481e-03,1.048481e-03
3.653969e+03,1.003011e-03,1.003011e-03,1.003011e-03,1.003011e-03
3.925200e+03,9.580145e-04,9.580145e-04,9.580145e-04,9.580145e-04
4.204930e+03,9.272008e-04,9.272008e-04,9.272008e-04,9.272008e-04
4.490367e+03,8.970916e-04,8.970917e-04,8.970917e-04,8.970917e-04
4.766726e+03,8.670280e-04,8.670280e-04,8.670280e-04,8.670280e-04
5.037141e+03,8.408235e-04,8.408235e-04,8.408235e-04,8.408235e-04
5.300139e+03,8.160442e-04,8.160442e-04,8.160442e-04,8.160442e-04
5.562749e+03,7.742823e-04,7.742824e-04,7.742824e-04,7.742824e-04
5.830438e+03,7.440055e-04,7.440055e-04,7.440055e-04,7.440055e-04
6.094480e+03,7.215965e-04,7.215965e-04,7.215965e-04,7.215965e-04
6.361465e+03,6.953047e-04,6.953047e-04,6.953047e-04,6.953047e-04
6.623498e+03,6.705333e-04,6.705333e-04,6.705333e-04,6.705333e-04
6.892515e+03,6.475952e-04,6.475952e-04,6.475952e-04,6.475952e-04
7.156648e+03,6.248075e-04,6.248075e-04,6.248075e-04,6.248075e-04
7.419964e+03,6.058441e-04,6.058441e-04,6.058441e-04,6.058441e-04
7.683354e+03,5.856283e-04,5.856283e-04,5.856283e-04,5.856283e-04
7.952129e+03,5.673238e-04,5.673238e-04,5.673238e-04,5.673238e-04
8.217255e+03,5.489902e-04,5.489902e-04,5.489902e-04,5.489902e-04
8.479128e+03,5.315949e-04,5.315949e-04,5.315949e-04,5.315949e-04
8.744304e+03,5.075253e-04,5.075253e-04,5.075253e-04,5.075253e-04
9.008417e+03,4.854641e-04,4.854642e-04,4.854642e-04,4.854642e-04
9.274268e+03,4.705895e-04,4.705895e-04,4.705895e-04,4.705895e-04
9.539073e+03,4.563836e-04,4.563836e-04,4.563836e-04,4.563836e-04
9.805743e+03,4.419691e-04,4.419691e-04,4.419691e-04,4.419691e-04
1.006882e+04,4.278500e-04,4.278500e-04,4.278500e-04,4.278500e-04
1.033561e+04,4.145213e-04,4.145214e-04,4.145214e-04,4.145214e-04
1.059935e+04,4.036911e-04,4.036911e-04,4.036911e-04,4.036911e-04
1.087061e+04,3.932361e-04,3.932361e-04,3.932361e-04,3.932361e-04
1.113200e+04,3.829014e-04,3.829014e-04,3.829014e-04,3.829014e-04
1.140063e+04,3.726125e-04,3.726125e-04,3.726125e-04,3.726125e-04
1.166629e+04,3.629696e-04,3.629696e-04,3.629696e-04,3.629696e-04
1.193345e+04,3.535477e-04,3.535477e-04,3.535477e-04,3.535477e-04
1.219779e+04,3.443085e-04,3.443085e-04,3.443085e-04,3.443085e-04
1.246183e+04,3.363290e-04,3.363290e-04,3.363290e-04,3.363290e-04
1.272749e+04,3.291027e-04,3.291027e-04,3.291027e-04,3.291027e-04
1.299371e+04,3.222885e-04,3.222885e-04,3.222885e-04,3.222885e-04
1.325951e+04,3.159170e-04,3.159170e-04,3.159170e-04,3.159170e-04
1.352277e+04,3.096518e-04,3.096518e-04,3.096518e-04,3.096518e-04
1.379195e+04,3.031330e-04,3.031330e-04,3.031330e-04,3.031330e-04
1.405629e+04,2.965501e-04,2.965501e-04,2.965501e-04,2.965501e-04
1.432600e+04,2.892886e-04,2.892886e-04,2.892886e-04,2.892886e-04
1.458771e+04,2.827966e-04,2.827966e-04,2.827966e-04,2.827966e-04
1.485380e+04,2.761818e-04,2.761818e-04,2.761818e-04,2.761818e-04
1.511721e+04,2.701232e-04,2.701232e-04,2.701232e-04,2.701232e-04
1.538600e+04,2.637525e-04,2.637525e-04,2.637525e-04,2.637525e-04
1.564697e+04,2.575288e-04,2.575288e-04,2.575288e-04,2.575288e-04
1.591227e+04,2.516373e-04,2.516373e-04,2.516373e-04,2.516373e-04
1.617614e+04,2.458662e-04,2.458662e-04,2.458662e-04,2.458662e-04
1.643953e+04,2.417967e-04,2.417967e-04,2.417967e-04,2.417967e-04
1.670366e+04,2.358061e-04,2.358061e-04,2.358061e-04,2.358061e-04
1.697053e+04,2.310083e-04,2.310083e-04,2.310083e-04,2.310083e-04
1.723609e+04,2.254146e-04,2.254146e-04,2.254146e-04,2.254146e-04
1.749949e+04,2.201725e-04,2.201725e-04,2.201725e-04,2.201725e-04
1.776521e+04,2.152311e-04,2.152311e-04,2.152311e-04,2.152311e-04
1.802832e+04,2.097419e-04,2.097419e-04,2.097419e-04,2.097419e-04
1.829601e+04,2.051473e-04,2.051473e-04,2.051473e-04,2.051473e-04
