timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.828166e+02,2.589169e-03,2.589169e-03,2.589169e-03,2.589169e-03
6.855086e+02,2.328503e-03,2.328503e-03,2.328503e-03,2.328503e-03
9.688434e+02,2.166395e-03,2.166395e-03,2.166395e-03,2.166395e-03
1.242870e+03,2.264936e-03,2.264936e-03,2.264936e-03,2.264936e-03
1.517584e+03,2.226365e-03,2.226365e-03,2.226365e-03,2.226365e-03
1.800549e+03,1.995208e-03,1.995208e-03,1.995208e-03,1.995208e-03
2.075060e+03,1.923208e-03,1.923208e-03,1.923208e-03,1.923208e-03
2.358817e+03,1.947639e-03,1.947639e-03,1.947639e-03,1.947639e-03
2.629163e+03,2.248545e-03,2.248545e-03,2.248545e-03,2.248545e-03
2.901582e+03,1.913961e-03,1.913961e-03,1.913961e-03,1.913961e-03
3.170083e+03,1.872141e-03,1.872141e-03,1.872141e-03,1.872141e-03
3.435495e+03,1.805609e-03,1.805609e-03,1.805609e-03,1.805609e-03
3.702721e+03,1.746573e-03,1.746573e-03,1.746573e-03,1.746573e-03
3.976049e+03,1.770708e-03,1.770708e-03,1.770708e-03,1.770708e-03
4.242120e+03,1.747076e-03,1.747076e-03,1.747076e-03,1.747076e-03
4.506031e+03,1.764725e-03,1.764725e-03,1.764725e-03,1.764725e-03
4.776560e+03,1.840496e-03,1.840496e-03,1.840496e-03,1.840496e-03
5.037810e+03,1.777735e-03,1.777735e-03,1.777735e-03,1.777735e-03
5.307633e+03,1.733402e-03,1.733402e-03,1.733402e-03,1.733402e-03
5.576243e+03,1.701366e-03,1.701366e-03,1.701366e-03,1.701366e-03
5.844670e+03,1.718504e-03,1.718504e-03,1.718504e-03,1.718504e-03
6.106384e+03,1.721671e-03,1.721671e-03,1.721671e-03,1.721671e-03
6.371283e+03,1.736451e-03,1.736451e-03,1.736451e-03,1.736451e-03
6.633887e+03,1.932668e-03,1.932668e-03,1.932668e-03,1.932668e-03
6.898979e+03,1.821876e-03,1.821876e-03,1.821876e-03,1.821876e-03
7.170056e+03,1.872431e-03,1.872431e-03,1.872431e-03,1.872431e-03
