timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
4.804448e+02,3.725526e-03,3.725526e-03,3.725526e-03,3.725526e-03
8.073910e+02,3.183213e-03,3.183213e-03,3.183213e-03,3.183213e-03
1.084478e+03,2.791769e-03,2.791768e-03,2.791768e-03,2.791768e-03
1.350728e+03,2.509645e-03,2.509645e-03,2.509645e-03,2.509645e-03
1.621707e+03,2.307646e-03,2.307646e-03,2.307646e-03,2.307646e-03
1.889150e+03,2.154801e-03,2.154801e-03,2.154801e-03,2.154801e-03
2.180558e+03,2.034792e-03,2.034792e-03,2.034792e-03,2.034792e-03
2.456568e+03,1.932529e-03,1.932529e-03,1.932529e-03,1.932529e-03
2.722750e+03,1.840221e-03,1.840221e-03,1.840221e-03,1.840221e-03
3.006954e+03,1.756031e-03,1.756031e-03,1.756031e-03,1.756031e-03
3.275888e+03,1.687467e-03,1.687466e-03,1.687466e-03,1.687466e-03
3.541578e+03,1.627934e-03,1.627934e-03,1.627934e-03,1.627934e-03
3.807075e+03,1.576056e-03,1.576056e-03,1.576056e-03,1.576056e-03
4.073413e+03,1.529698e-03,1.529698e-03,1.529698e-03,1.529698e-03
4.337375e+03,1.487493e-03,1.487493e-03,1.487493e-03,1.487493e-03
4.605387e+03,1.447717e-03,1.447717e-03,1.447717e-03,1.447717e-03
4.927189e+03,1.408361e-03,1.408362e-03,1.408362e-03,1.408362e-03
5.195676e+03,1.387044e-03,1.387044e-03,1.387044e-03,1.387044e-03
5.462843e+03,1.369212e-03,1.369212e-03,1.369212e-03,1.369212e-03
5.729912e+03,1.346143e-03,1.346143e-03,1.346143e-03,1.346143e-03
6.001119e+03,1.325046e-03,1.325046e-03,1.325046e-03,1.325046e-03
6.265169e+03,1.293842e-03,1.293842e-03,1.293842e-03,1.293842e-03
6.530579e+03,1.274148e-03,1.274148e-03,1.274148e-03,1.274148e-03
6.798795e+03,1.247298e-03,1.247298e-03,1.247298e-03,1.247298e-03
7.074465e+03,1.216999e-03,1.216999e-03,1.216999e-03,1.216999e-03
7.339782e+03,1.188753e-03,1.188753e-03,1.188753e-03,1.188753e-03
7.602739e+03,1.159704e-03,1.159704e-03,1.159704e-03,1.159704e-03
7.874488e+03,1.132204e-03,1.132204e-03,1.132204e-03,1.132204e-03
8.140653e+03,1.104691e-03,1.104691e-03,1.104691e-03,1.104691e-03
8.407619e+03,1.077902e-03,1.077902e-03,1.077902e-03,1.077902e-03
8.671401e+03,1.053544e-03,1.053544e-03,1.053544e-03,1.053544e-03
8.936118e+03,1.028940e-03,1.028940e-03,1.028940e-03,1.028940e-03
9.202976e+03,1.004040e-03,1.004040e-03,1.004040e-03,1.004040e-03
9.473664e+03,9.801651e-04,9.801651e-04,9.801651e-04,9.801651e-04
9.740355e+03,9.570017e-04,9.570017e-04,9.570017e-04,9.570017e-04
1.000413e+04,9.343041e-04,9.343041e-04,9.343041e-04,9.343041e-04
1.027017e+04,9.127504e-04,9.127505e-04,9.127505e-04,9.127505e-04
1.053521e+04,8.916268e-04,8.916268e-04,8.916268e-04,8.916268e-04
1.080483e+04,8.712378e-04,8.712378e-04,8.712378e-04,8.712378e-04
1.106709e+04,8.506806e-04,8.506806e-04,8.506806e-04,8.506806e-04
1.133916e+04,8.307423e-04,8.307423e-04,8.307423e-04,8.307423e-04
1.160294e+04,8.111358e-04,8.111358e-04,8.111358e-04,8.111358e-04
1.187326e+04,7.930609e-04,7.930609e-04,7.930609e-04,7.930609e-04
1.213643e+04,7.755178e-04,7.755178e-04,7.755178e-04,7.755178e-04
1.240186e+04,7.587806e-04,7.587806e-04,7.587806e-04,7.587806e-04
1.266856e+04,7.422927e-04,7.422927e-04,7.422927e-04,7.422927e-04
1.293953e+04,7.268658e-04,7.268658e-04,7.268658e-04,7.268658e-04
1.320515e+04,7.116813e-04,7.116813e-04,7.116813e-04,7.116813e-04
1.347283e+04,6.988356e-04,6.988356e-04,6.988356e-04,6.988356e-04
1.374176e+04,6.860796e-04,6.860796e-04,6.860796e-04,6.860796e-04
1.401008e+04,6.732500e-04,6.732499e-04,6.732499e-04,6.732499e-04
1.427538e+04,6.610377e-04,6.610377e-04,6.610377e-04,6.610377e-04
1.454348e+04,6.476992e-04,6.476992e-04,6.476992e-04,6.476992e-04
1.480732e+04,6.351097e-04,6.351097e-04,6.351097e-04,6.351097e-04
1.507318e+04,6.339803e-04,6.339803e-04,6.339803e-04,6.339803e-04
1.534154e+04,6.324381e-04,6.324381e-04,6.324381e-04,6.324381e-04
1.560739e+04,6.300388e-04,6.300388e-04,6.300388e-04,6.300388e-04
