timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
4.134732e+02,2.967947e-03,2.967947e-03,2.967947e-03,2.967947e-03
7.034338e+02,3.276373e-03,3.276373e-03,3.276373e-03,3.276373e-03
9.916847e+02,2.839261e-03,2.839261e-03,2.839261e-03,2.839261e-03
1.269603e+03,2.391469e-03,2.391469e-03,2.391469e-03,2.391469e-03
1.534393e+03,2.296748e-03,2.296748e-03,2.296748e-03,2.296748e-03
1.802733e+03,2.380300e-03,2.380300e-03,2.380300e-03,2.380300e-03
2.092007e+03,5.215030e-03,5.215030e-03,5.215030e-03,5.215030e-03
2.376730e+03,2.564052e-03,2.564052e-03,2.564052e-03,2.564052e-03
2.670350e+03,2.336985e-03,2.336985e-03,2.336985e-03,2.336985e-03
2.979216e+03,2.195879e-03,2.195879e-03,2.195879e-03,2.195879e-03
3.290386e+03,2.170332e-03,2.170332e-03,2.170332e-03,2.170332e-03
3.576722e+03,2.127555e-03,2.127555e-03,2.127555e-03,2.127555e-03
3.842081e+03,2.096060e-03,2.096060e-03,2.096060e-03,2.096060e-03
4.107373e+03,2.072923e-03,2.072923e-03,2.072923e-03,2.072923e-03
4.372666e+03,2.065131e-03,2.065131e-03,2.065131e-03,2.065131e-03
4.647695e+03,2.248830e-03,2.248830e-03,2.248830e-03,2.248830e-03
4.915540e+03,2.318452e-03,2.318452e-03,2.318452e-03,2.318452e-03
5.180223e+03,2.044647e-03,2.044647e-03,2.044647e-03,2.044647e-03
5.445747e+03,2.137655e-03,2.137655e-03,2.137655e-03,2.137655e-03
5.714950e+03,1.925701e-03,1.925701e-03,1.925701e-03,1.925701e-03
5.979531e+03,1.834421e-03,1.834421e-03,1.834421e-03,1.834421e-03
6.242422e+03,1.837661e-03,1.837661e-03,1.837661e-03,1.837661e-03
6.508045e+03,1.893007e-03,1.893006e-03,1.893006e-03,1.893006e-03
6.772331e+03,1.808697e-03,1.808697e-03,1.808697e-03,1.808697e-03
7.041755e+03,1.792066e-03,1.792066e-03,1.792066e-03,1.792066e-03
7.306015e+03,1.863019e-03,1.863019e-03,1.863019e-03,1.863019e-03
7.569852e+03,1.840964e-03,1.840964e-03,1.840964e-03,1.840964e-03
7.837804e+03,1.749347e-03,1.749347e-03,1.749347e-03,1.749347e-03
8.103847e+03,1.769822e-03,1.769822e-03,1.769822e-03,1.769822e-03
8.369677e+03,1.980117e-03,1.980117e-03,1.980117e-03,1.980117e-03
8.631920e+03,2.774632e-03,2.774632e-03,2.774632e-03,2.774632e-03
8.897422e+03,1.937587e-03,1.937587e-03,1.937587e-03,1.937587e-03
9.164144e+03,2.146606e-03,2.146606e-03,2.146606e-03,2.146606e-03
9.429083e+03,1.875415e-03,1.875415e-03,1.875415e-03,1.875415e-03
9.692418e+03,2.169711e-03,2.169711e-03,2.169711e-03,2.169711e-03
9.958315e+03,2.269590e-03,2.269590e-03,2.269590e-03,2.269590e-03
1.022662e+04,2.245797e-03,2.245797e-03,2.245797e-03,2.245797e-03
1.049479e+04,2.172018e-03,2.172018e-03,2.172018e-03,2.172018e-03
1.076273e+04,2.132417e-03,2.132417e-03,2.132417e-03,2.132417e-03
1.102809e+04,2.096132e-03,2.096132e-03,2.096132e-03,2.096132e-03
1.129778e+04,2.072871e-03,2.072871e-03,2.072871e-03,2.072871e-03
1.156312e+04,2.082381e-03,2.082381e-03,2.082381e-03,2.082381e-03
1.183119e+04,2.004742e-03,2.004742e-03,2.004742e-03,2.004742e-03
1.209332e+04,2.471583e-03,2.471583e-03,2.471583e-03,2.471583e-03
1.236154e+04,1.928233e-03,1.928233e-03,1.928233e-03,1.928233e-03
1.263011e+04,1.941965e-03,1.941965e-03,1.941965e-03,1.941965e-03
1.290181e+04,1.960221e-03,1.960221e-03,1.960221e-03,1.960221e-03
1.316514e+04,1.912867e-03,1.912867e-03,1.912867e-03,1.912867e-03
1.342960e+04,1.895217e-03,1.895217e-03,1.895217e-03,1.895217e-03
1.369745e+04,1.932728e-03,1.932728e-03,1.932728e-03,1.932728e-03
1.396589e+04,1.949345e-03,1.949345e-03,1.949345e-03,1.949345e-03
1.422941e+04,1.977663e-03,1.977663e-03,1.977663e-03,1.977663e-03
1.450148e+04,2.110276e-03,2.110276e-03,2.110276e-03,2.110276e-03
1.476667e+04,2.119227e-03,2.119227e-03,2.119227e-03,2.119227e-03
1.503335e+04,2.089822e-03,2.089822e-03,2.089822e-03,2.089822e-03
1.530032e+04,2.096313e-03,2.096313e-03,2.096313e-03,2.096313e-03
1.557066e+04,2.119221e-03,2.119221e-03,2.119221e-03,2.119221e-03
1.583765e+04,2.209164e-03,2.209164e-03,2.209164e-03,2.209164e-03
1.610351e+04,2.258314e-03,2.258314e-03,2.258314e-03,2.258314e-03
1.636836e+04,3.194752e-03,3.194753e-03,3.194753e-03,3.194753e-03
1.663669e+04,2.955909e-03,2.955909e-03,2.955909e-03,2.955909e-03
1.690769e+04,2.738736e-03,2.738736e-03,2.738736e-03,2.738736e-03
1.717247e+04,2.777193e-03,2.777193e-03,2.777193e-03,2.777193e-03
1.743681e+04,2.548394e-03,2.548394e-03,2.548394e-03,2.548394e-03
1.770243e+04,2.957921e-03,2.957921e-03,2.957921e-03,2.957921e-03
1.796979e+04,1.878933e-03,1.878933e-03,1.878933e-03,1.878933e-03
1.823831e+04,1.963036e-03,1.963036e-03,1.963036e-03,1.963036e-03
1.850072e+04,1.911670e-03,1.911670e-03,1.911670e-03,1.911670e-03
1.876676e+04,1.958236e-03,1.958236e-03,1.958236e-03,1.958236e-03
1.903795e+04,2.197043e-03,2.197043e-03,2.197043e-03,2.197043e-03
1.930823e+04,2.246140e-03,2.246140e-03,2.246140e-03,2.246140e-03
1.957903e+04,2.307113e-03,2.307113e-03,2.307113e-03,2.307113e-03
1.984963e+04,2.337470e-03,2.337470e-03,2.337470e-03,2.337470e-03
2.011754e+04,2.287237e-03,2.287237e-03,2.287237e-03,2.287237e-03
2.038927e+04,1.944769e-03,1.944769e-03,1.944769e-03,1.944769e-03
2.065679e+04,1.807494e-03,1.807494e-03,1.807494e-03,1.807494e-03
