timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
1.571032e+02,1.668980e-02,1.668980e-02,1.668980e-02,1.668980e-02
1.906344e+02,1.255621e-02,1.255621e-02,1.255621e-02,1.255621e-02
2.239115e+02,1.058028e-02,1.058028e-02,1.058028e-02,1.058028e-02
2.587599e+02,9.306852e-03,9.306852e-03,9.306852e-03,9.306852e-03
2.980204e+02,8.460352e-03,8.460352e-03,8.460352e-03,8.460352e-03
3.343994e+02,7.895602e-03,7.895602e-03,7.895602e-03,7.895602e-03
3.651069e+02,7.419406e-03,7.419406e-03,7.419406e-03,7.419406e-03
3.944403e+02,7.066607e-03,7.066607e-03,7.066607e-03,7.066607e-03
4.261147e+02,6.801117e-03,6.801117e-03,6.801117e-03,6.801117e-03
4.571234e+02,6.562173e-03,6.562173e-03,6.562173e-03,6.562173e-03
4.892222e+02,6.375832e-03,6.375832e-03,6.375832e-03,6.375832e-03
5.187491e+02,6.202486e-03,6.202486e-03,6.202486e-03,6.202486e-03
5.474294e+02,6.067041e-03,6.067041e-03,6.067041e-03,6.067041e-03
5.764892e+02,5.953442e-03,5.953442e-03,5.953442e-03,5.953442e-03
6.039962e+02,5.862010e-03,5.862010e-03,5.862010e-03,5.862010e-03
6.336234e+02,5.782615e-03,5.782615e-03,5.782615e-03,5.782615e-03
6.612733e+02,5.699791e-03,5.699791e-03,5.699791e-03,5.699791e-03
6.914306e+02,5.632953e-03,5.632953e-03,5.632953e-03,5.632953e-03
7.195019e+02,5.556395e-03,5.556395e-03,5.556395e-03,5.556395e-03
7.482815e+02,5.493374e-03,5.493374e-03,5.493374e-03,5.493374e-03
7.769416e+02,5.443342e-03,5.443342e-03,5.443342e-03,5.443342e-03
8.052659e+02,5.400607e-03,5.400607e-03,5.400607e-03,5.400607e-03
8.352973e+02,5.354565e-03,5.354565e-03,5.354565e-03,5.354565e-03
8.629490e+02,5.313791e-03,5.313791e-03,5.313791e-03,5.313791e-03
8.925459e+02,5.281489e-03,5.281489e-03,5.281489e-03,5.281489e-03
9.204032e+02,5.247172e-03,5.247172e-03,5.247172e-03,5.247172e-03
9.490927e+02,5.217692e-03,5.217692e-03,5.217692e-03,5.217692e-03
9.759271e+02,5.189962e-03,5.189962e-03,5.189962e-03,5.189962e-03
1.003666e+03,5.144953e-03,5.144953e-03,5.144953e-03,5.144953e-03
1.032590e+03,5.121959e-03,5.121959e-03,5.121959e-03,5.121959e-03
1.059951e+03,5.097216e-03,5.097216e-03,5.097216e-03,5.097216e-03
1.088520e+03,5.072642e-03,5.072642e-03,5.072642e-03,5.072642e-03
1.117068e+03,5.050016e-03,5.050016e-03,5.050016e-03,5.050016e-03
1.145147e+03,5.017483e-03,5.017483e-03,5.017483e-03,5.017483e-03
1.172232e+03,5.006669e-03,5.006669e-03,5.006669e-03,5.006669e-03
1.199535e+03,4.987611e-03,4.987611e-03,4.987611e-03,4.987611e-03
1.227924e+03,4.968727e-03,4.968727e-03,4.968727e-03,4.968727e-03
1.256042e+03,4.955471e-03,4.955471e-03,4.955471e-03,4.955471e-03
1.283013e+03,4.943079e-03,4.943079e-03,4.943079e-03,4.943079e-03
1.310446e+03,4.928794e-03,4.928794e-03,4.928794e-03,4.928794e-03
1.339045e+03,4.908338e-03,4.908338e-03,4.908338e-03,4.908338e-03
1.367793e+03,4.889634e-03,4.889634e-03,4.889634e-03,4.889634e-03
1.396736e+03,4.880986e-03,4.880986e-03,4.880986e-03,4.880986e-03
1.424897e+03,4.868234e-03,4.868234e-03,4.868234e-03,4.868234e-03
1.453575e+03,4.856199e-03,4.856199e-03,4.856199e-03,4.856199e-03
1.482785e+03,4.850290e-03,4.850290e-03,4.850290e-03,4.850290e-03
