timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
2.712589e+02,2.853637e-02,2.853637e-02,2.853637e-02,2.853637e-02
3.068857e+02,2.979020e-02,2.979020e-02,2.979020e-02,2.979020e-02
3.413251e+02,2.973877e-02,2.973877e-02,2.973877e-02,2.973877e-02
3.764938e+02,2.950877e-02,2.950877e-02,2.950877e-02,2.950877e-02
4.105365e+02,3.118172e-02,3.118172e-02,3.118172e-02,3.118172e-02
4.479361e+02,2.957179e-02,2.957179e-02,2.957179e-02,2.957179e-02
4.752479e+02,2.890318e-02,2.890318e-02,2.890318e-02,2.890318e-02
5.050963e+02,2.935680e-02,2.935680e-02,2.935680e-02,2.935680e-02
5.344735e+02,2.948352e-02,2.948352e-02,2.948352e-02,2.948352e-02
5.620228e+02,2.888924e-02,2.888924e-02,2.888924e-02,2.888924e-02
5.890423e+02,3.131021e-02,3.131021e-02,3.131021e-02,3.131021e-02
6.169809e+02,3.480235e-02,3.480235e-02,3.480235e-02,3.480235e-02
6.502896e+02,2.821074e-02,2.821074e-02,2.821074e-02,2.821074e-02
6.786202e+02,2.838312e-02,2.838312e-02,2.838312e-02,2.838312e-02
7.073655e+02,2.960772e-02,2.960772e-02,2.960772e-02,2.960772e-02
7.345527e+02,2.990890e-02,2.990890e-02,2.990890e-02,2.990890e-02
7.639875e+02,2.941182e-02,2.941182e-02,2.941182e-02,2.941182e-02
7.915375e+02,3.576664e-02,3.576664e-02,3.576664e-02,3.576664e-02
8.200852e+02,3.133272e-02,3.133272e-02,3.133272e-02,3.133272e-02
8.476111e+02,2.954595e-02,2.954595e-02,2.954595e-02,2.954595e-02
8.775421e+02,2.908815e-02,2.908815e-02,2.908815e-02,2.908815e-02
9.064910e+02,2.835735e-02,2.835735e-02,2.835735e-02,2.835735e-02
9.333902e+02,2.915170e-02,2.915170e-02,2.915170e-02,2.915170e-02
9.628239e+02,2.977790e-02,2.977790e-02,2.977790e-02,2.977790e-02
9.913213e+02,2.926341e-02,2.926341e-02,2.926341e-02,2.926341e-02
1.019696e+03,2.945771e-02,2.945771e-02,2.945771e-02,2.945771e-02
1.047041e+03,2.884974e-02,2.884974e-02,2.884974e-02,2.884974e-02
1.076753e+03,2.956995e-02,2.956995e-02,2.956995e-02,2.956995e-02
1.105632e+03,2.918024e-02,2.918024e-02,2.918024e-02,2.918024e-02
1.132404e+03,3.004547e-02,3.004547e-02,3.004547e-02,3.004547e-02
1.161393e+03,2.916362e-02,2.916362e-02,2.916362e-02,2.916362e-02
1.189196e+03,2.951972e-02,2.951972e-02,2.951972e-02,2.951972e-02
1.216813e+03,2.961606e-02,2.961606e-02,2.961606e-02,2.961606e-02
1.243384e+03,2.998907e-02,2.998907e-02,2.998907e-02,2.998907e-02
1.270007e+03,2.919331e-02,2.919331e-02,2.919331e-02,2.919331e-02
1.300237e+03,2.967734e-02,2.967734e-02,2.967734e-02,2.967734e-02
