timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
2.676193e+02,2.251837e-02,2.251837e-02,2.251837e-02,2.251837e-02
4.020061e+02,1.568023e-02,1.568023e-02,1.568023e-02,1.568023e-02
5.251347e+02,1.181968e-02,1.181968e-02,1.181968e-02,1.181968e-02
6.498752e+02,9.397297e-03,9.397297e-03,9.397297e-03,9.397297e-03
7.797649e+02,7.745109e-03,7.745109e-03,7.745109e-03,7.745109e-03
9.094623e+02,6.572891e-03,6.572891e-03,6.572891e-03,6.572891e-03
1.038173e+03,5.707737e-03,5.707737e-03,5.707737e-03,5.707737e-03
1.164966e+03,5.043701e-03,5.043701e-03,5.043701e-03,5.043701e-03
1.295133e+03,4.520190e-03,4.520190e-03,4.520190e-03,4.520190e-03
1.419771e+03,4.099403e-03,4.099403e-03,4.099403e-03,4.099403e-03
1.547139e+03,3.748200e-03,3.748199e-03,3.748199e-03,3.748199e-03
1.671119e+03,3.456979e-03,3.456979e-03,3.456979e-03,3.456979e-03
1.796114e+03,3.207483e-03,3.207483e-03,3.207483e-03,3.207483e-03
1.924025e+03,2.990979e-03,2.990979e-03,2.990979e-03,2.990979e-03
2.048977e+03,2.802276e-03,2.802276e-03,2.802276e-03,2.802276e-03
2.174285e+03,2.636132e-03,2.636132e-03,2.636132e-03,2.636132e-03
2.300281e+03,2.488210e-03,2.488210e-03,2.488210e-03,2.488210e-03
2.424664e+03,2.356695e-03,2.356695e-03,2.356695e-03,2.356695e-03
2.550437e+03,2.239810e-03,2.239810e-03,2.239810e-03,2.239810e-03
2.673760e+03,2.134949e-03,2.134949e-03,2.134949e-03,2.134949e-03
2.798973e+03,2.039794e-03,2.039794e-03,2.039794e-03,2.039794e-03
2.924059e+03,1.953120e-03,1.953120e-03,1.953120e-03,1.953120e-03
3.051299e+03,1.874321e-03,1.874321e-03,1.874321e-03,1.874321e-03
3.174593e+03,1.802140e-03,1.802140e-03,1.802140e-03,1.802140e-03
3.299263e+03,1.735000e-03,1.735000e-03,1.735000e-03,1.735000e-03
3.425455e+03,1.673211e-03,1.673211e-03,1.673211e-03,1.673211e-03
3.552760e+03,1.616561e-03,1.616561e-03,1.616561e-03,1.616561e-03
3.677446e+03,1.563788e-03,1.563788e-03,1.563788e-03,1.563788e-03
3.803225e+03,1.515177e-03,1.515177e-03,1.515177e-03,1.515177e-03
3.930546e+03,1.470504e-03,1.470504e-03,1.470504e-03,1.470504e-03
4.056428e+03,1.427705e-03,1.427705e-03,1.427705e-03,1.427705e-03
4.181989e+03,1.387589e-03,1.387589e-03,1.387589e-03,1.387589e-03
4.307916e+03,1.349759e-03,1.349759e-03,1.349759e-03,1.349759e-03
4.431637e+03,1.314077e-03,1.314077e-03,1.314077e-03,1.314077e-03
4.555105e+03,1.280122e-03,1.280122e-03,1.280122e-03,1.280122e-03
4.683526e+03,1.247517e-03,1.247517e-03,1.247517e-03,1.247517e-03
4.810276e+03,1.216999e-03,1.216999e-03,1.216999e-03,1.216999e-03
4.937924e+03,1.188035e-03,1.188035e-03,1.188035e-03,1.188035e-03
5.063405e+03,1.160597e-03,1.160597e-03,1.160597e-03,1.160597e-03
5.187175e+03,1.134777e-03,1.134777e-03,1.134777e-03,1.134777e-03
5.311597e+03,1.109882e-03,1.109882e-03,1.109882e-03,1.109882e-03
5.437827e+03,1.085957e-03,1.085957e-03,1.085957e-03,1.085957e-03
5.567254e+03,1.062996e-03,1.062996e-03,1.062996e-03,1.062996e-03
5.692777e+03,1.041030e-03,1.041030e-03,1.041030e-03,1.041030e-03
5.818054e+03,1.019888e-03,1.019888e-03,1.019888e-03,1.019888e-03
5.945037e+03,9.996224e-04,9.996224e-04,9.996224e-04,9.996224e-04
6.069687e+03,9.803716e-04,9.803716e-04,9.803716e-04,9.803716e-04
6.196749e+03,9.621281e-04,9.621280e-04,9.621280e-04,9.621280e-04
6.323554e+03,9.445594e-04,9.445594e-04,9.445594e-04,9.445594e-04
6.449358e+03,9.278008e-04,9.278008e-04,9.278008e-04,9.278008e-04
6.574110e+03,9.119168e-04,9.119167e-04,9.119167e-04,9.119167e-04
6.700703e+03,8.963851e-04,8.963851e-04,8.963851e-04,8.963851e-04
6.826057e+03,8.811213e-04,8.811213e-04,8.811213e-04,8.811213e-04
6.950346e+03,8.662192e-04,8.662193e-04,8.662193e-04,8.662193e-04
7.076054e+03,8.518778e-04,8.518778e-04,8.518778e-04,8.518778e-04
7.202114e+03,8.380714e-04,8.380715e-04,8.380715e-04,8.380715e-04
7.326439e+03,8.245137e-04,8.245137e-04,8.245137e-04,8.245137e-04
7.454109e+03,8.113853e-04,8.113853e-04,8.113853e-04,8.113853e-04
7.577737e+03,7.987497e-04,7.987497e-04,7.987497e-04,7.987497e-04
7.701712e+03,7.867102e-04,7.867102e-04,7.867102e-04,7.867102e-04
7.826534e+03,7.752077e-04,7.752077e-04,7.752077e-04,7.752077e-04
