timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.787863e+02,1.828159e-02,1.828159e-02,1.828159e-02,1.828159e-02
5.128554e+02,1.336063e-02,1.336063e-02,1.336063e-02,1.336063e-02
6.462155e+02,1.148880e-02,1.148880e-02,1.148880e-02,1.148880e-02
7.753717e+02,1.068623e-02,1.068623e-02,1.068623e-02,1.068623e-02
9.164107e+02,1.038602e-02,1.038602e-02,1.038602e-02,1.038602e-02
1.046181e+03,1.022006e-02,1.022006e-02,1.022006e-02,1.022006e-02
1.181622e+03,1.010721e-02,1.010721e-02,1.010721e-02,1.010721e-02
1.319522e+03,1.007416e-02,1.007416e-02,1.007416e-02,1.007416e-02
1.452513e+03,1.001932e-02,1.001932e-02,1.001932e-02,1.001932e-02
1.578305e+03,9.959119e-03,9.959119e-03,9.959119e-03,9.959119e-03
1.704179e+03,9.969991e-03,9.969991e-03,9.969991e-03,9.969991e-03
1.828899e+03,9.951192e-03,9.951192e-03,9.951192e-03,9.951192e-03
1.955305e+03,9.929648e-03,9.929648e-03,9.929648e-03,9.929648e-03
2.078894e+03,9.888513e-03,9.888513e-03,9.888513e-03,9.888513e-03
2.203699e+03,9.927214e-03,9.927214e-03,9.927214e-03,9.927214e-03
2.331084e+03,9.925842e-03,9.925842e-03,9.925842e-03,9.925842e-03
2.458825e+03,9.955664e-03,9.955664e-03,9.955664e-03,9.955664e-03
2.584537e+03,1.001730e-02,1.001730e-02,1.001730e-02,1.001730e-02
2.707230e+03,1.000614e-02,1.000614e-02,1.000614e-02,1.000614e-02
2.830561e+03,9.980620e-03,9.980620e-03,9.980620e-03,9.980620e-03
2.956101e+03,9.971095e-03,9.971095e-03,9.971095e-03,9.971095e-03
3.081643e+03,9.978519e-03,9.978519e-03,9.978519e-03,9.978519e-03
3.207721e+03,9.974605e-03,9.974605e-03,9.974605e-03,9.974605e-03
3.332233e+03,9.941312e-03,9.941312e-03,9.941312e-03,9.941312e-03
3.458024e+03,9.961986e-03,9.961986e-03,9.961986e-03,9.961986e-03
3.582434e+03,9.952219e-03,9.952219e-03,9.952219e-03,9.952219e-03
3.708862e+03,9.965675e-03,9.965675e-03,9.965675e-03,9.965675e-03
3.835223e+03,9.973198e-03,9.973198e-03,9.973198e-03,9.973198e-03
3.960617e+03,9.967445e-03,9.967445e-03,9.967445e-03,9.967445e-03
4.084761e+03,9.975562e-03,9.975562e-03,9.975562e-03,9.975562e-03
4.209193e+03,9.988189e-03,9.988189e-03,9.988189e-03,9.988189e-03
4.333877e+03,1.001042e-02,1.001042e-02,1.001042e-02,1.001042e-02
4.459913e+03,1.003545e-02,1.003545e-02,1.003545e-02,1.003545e-02
4.584780e+03,1.003134e-02,1.003134e-02,1.003134e-02,1.003134e-02
4.707869e+03,1.003515e-02,1.003515e-02,1.003515e-02,1.003515e-02
4.831327e+03,9.999526e-03,9.999526e-03,9.999526e-03,9.999526e-03
4.955682e+03,1.000995e-02,1.000995e-02,1.000995e-02,1.000995e-02
5.081450e+03,1.000920e-02,1.000920e-02,1.000920e-02,1.000920e-02
5.206815e+03,1.005837e-02,1.005837e-02,1.005837e-02,1.005837e-02
5.329633e+03,1.004720e-02,1.004720e-02,1.004720e-02,1.004720e-02
5.454228e+03,1.003943e-02,1.003943e-02,1.003943e-02,1.003943e-02
5.578593e+03,1.001974e-02,1.001974e-02,1.001974e-02,1.001974e-02
5.704270e+03,9.989423e-03,9.989423e-03,9.989423e-03,9.989423e-03
5.828126e+03,9.978291e-03,9.978291e-03,9.978291e-03,9.978291e-03
5.952142e+03,9.993987e-03,9.993987e-03,9.993987e-03,9.993987e-03
6.078380e+03,1.000671e-02,1.000671e-02,1.000671e-02,1.000671e-02
6.204728e+03,1.003437e-02,1.003437e-02,1.003437e-02,1.003437e-02
6.328064e+03,1.006191e-02,1.006191e-02,1.006191e-02,1.006191e-02
6.450629e+03,1.001246e-02,1.001246e-02,1.001246e-02,1.001246e-02
6.576343e+03,1.006110e-02,1.006110e-02,1.006110e-02,1.006110e-02
6.700690e+03,1.006207e-02,1.006207e-02,1.006207e-02,1.006207e-02
6.826711e+03,1.007157e-02,1.007157e-02,1.007157e-02,1.007157e-02
6.953390e+03,1.008283e-02,1.008283e-02,1.008283e-02,1.008283e-02
7.077043e+03,1.012438e-02,1.012438e-02,1.012438e-02,1.012438e-02
7.202284e+03,1.012950e-02,1.012950e-02,1.012950e-02,1.012950e-02
