timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
2.977527e+02,2.220137e-02,2.220137e-02,2.220137e-02,2.220137e-02
4.347779e+02,1.545295e-02,1.545295e-02,1.545295e-02,1.545295e-02
5.580017e+02,1.171495e-02,1.171495e-02,1.171495e-02,1.171495e-02
6.817661e+02,9.361655e-03,9.361655e-03,9.361655e-03,9.361655e-03
8.195383e+02,7.769030e-03,7.769030e-03,7.769030e-03,7.769030e-03
9.532881e+02,6.635412e-03,6.635412e-03,6.635412e-03,6.635412e-03
1.081224e+03,5.784698e-03,5.784698e-03,5.784698e-03,5.784698e-03
1.211285e+03,5.131316e-03,5.131316e-03,5.131316e-03,5.131316e-03
1.341185e+03,4.615234e-03,4.615234e-03,4.615234e-03,4.615234e-03
1.465497e+03,4.192446e-03,4.192446e-03,4.192446e-03,4.192446e-03
1.594053e+03,3.842833e-03,3.842833e-03,3.842833e-03,3.842833e-03
1.719406e+03,3.548081e-03,3.548081e-03,3.548081e-03,3.548081e-03
1.847704e+03,3.293493e-03,3.293493e-03,3.293493e-03,3.293493e-03
1.971865e+03,3.074007e-03,3.074007e-03,3.074007e-03,3.074007e-03
2.098430e+03,2.885337e-03,2.885337e-03,2.885337e-03,2.885337e-03
2.224022e+03,2.719851e-03,2.719851e-03,2.719851e-03,2.719851e-03
2.347099e+03,2.573699e-03,2.573699e-03,2.573699e-03,2.573699e-03
2.471674e+03,2.442199e-03,2.442199e-03,2.442199e-03,2.442199e-03
2.597757e+03,2.323390e-03,2.323390e-03,2.323390e-03,2.323390e-03
2.721303e+03,2.214638e-03,2.214638e-03,2.214638e-03,2.214638e-03
2.849116e+03,2.117477e-03,2.117477e-03,2.117477e-03,2.117477e-03
2.974318e+03,2.029324e-03,2.029324e-03,2.029324e-03,2.029324e-03
3.098383e+03,1.947900e-03,1.947900e-03,1.947900e-03,1.947900e-03
3.223799e+03,1.874227e-03,1.874227e-03,1.874227e-03,1.874227e-03
3.350857e+03,1.806007e-03,1.806007e-03,1.806007e-03,1.806007e-03
3.478005e+03,1.742792e-03,1.742792e-03,1.742792e-03,1.742792e-03
3.605095e+03,1.684621e-03,1.684621e-03,1.684621e-03,1.684621e-03
3.729468e+03,1.630615e-03,1.630615e-03,1.630615e-03,1.630615e-03
3.856797e+03,1.580485e-03,1.580485e-03,1.580485e-03,1.580485e-03
3.982409e+03,1.533524e-03,1.533524e-03,1.533524e-03,1.533524e-03
4.108148e+03,1.489766e-03,1.489766e-03,1.489766e-03,1.489766e-03
4.234451e+03,1.448808e-03,1.448808e-03,1.448808e-03,1.448808e-03
4.361414e+03,1.410135e-03,1.410135e-03,1.410135e-03,1.410135e-03
4.485436e+03,1.373467e-03,1.373467e-03,1.373467e-03,1.373467e-03
4.610168e+03,1.338860e-03,1.338860e-03,1.338860e-03,1.338860e-03
4.735233e+03,1.305772e-03,1.305772e-03,1.305772e-03,1.305772e-03
4.863701e+03,1.273415e-03,1.273415e-03,1.273415e-03,1.273415e-03
4.990412e+03,1.242357e-03,1.242357e-03,1.242357e-03,1.242357e-03
5.116523e+03,1.212688e-03,1.212688e-03,1.212688e-03,1.212688e-03
5.242279e+03,1.184690e-03,1.184690e-03,1.184690e-03,1.184690e-03
5.365885e+03,1.158037e-03,1.158037e-03,1.158037e-03,1.158037e-03
5.490322e+03,1.132860e-03,1.132860e-03,1.132860e-03,1.132860e-03
5.616020e+03,1.108716e-03,1.108716e-03,1.108716e-03,1.108716e-03
