timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
1.918055e+02,1.863805e-02,1.863805e-02,1.863805e-02,1.863805e-02
3.444784e+02,1.374048e-02,1.374048e-02,1.374048e-02,1.374048e-02
4.762407e+02,1.200479e-02,1.200479e-02,1.200479e-02,1.200479e-02
6.128733e+02,1.119117e-02,1.119117e-02,1.119117e-02,1.119117e-02
7.400097e+02,1.090940e-02,1.090940e-02,1.090940e-02,1.090940e-02
8.742629e+02,1.068375e-02,1.068375e-02,1.068375e-02,1.068375e-02
1.016763e+03,1.051648e-02,1.051648e-02,1.051648e-02,1.051648e-02
1.150147e+03,1.038726e-02,1.038726e-02,1.038726e-02,1.038726e-02
1.277607e+03,1.029105e-02,1.029105e-02,1.029105e-02,1.029105e-02
1.401443e+03,1.025639e-02,1.025639e-02,1.025639e-02,1.025639e-02
1.540572e+03,1.022129e-02,1.022129e-02,1.022129e-02,1.022129e-02
1.680799e+03,1.018599e-02,1.018599e-02,1.018599e-02,1.018599e-02
1.819616e+03,1.009330e-02,1.009330e-02,1.009330e-02,1.009330e-02
1.956898e+03,1.008235e-02,1.008235e-02,1.008235e-02,1.008235e-02
2.096553e+03,1.008739e-02,1.008739e-02,1.008739e-02,1.008739e-02
2.236693e+03,1.005287e-02,1.005287e-02,1.005287e-02,1.005287e-02
2.362113e+03,1.001986e-02,1.001986e-02,1.001986e-02,1.001986e-02
2.488043e+03,1.001785e-02,1.001785e-02,1.001785e-02,1.001785e-02
2.614338e+03,1.003156e-02,1.003156e-02,1.003156e-02,1.003156e-02
2.740733e+03,1.002836e-02,1.002836e-02,1.002836e-02,1.002836e-02
2.864055e+03,1.000465e-02,1.000465e-02,1.000465e-02,1.000465e-02
2.986860e+03,1.001889e-02,1.001889e-02,1.001889e-02,1.001889e-02
3.112293e+03,9.991099e-03,9.991099e-03,9.991099e-03,9.991099e-03
3.238224e+03,9.950223e-03,9.950223e-03,9.950223e-03,9.950223e-03
3.365486e+03,1.000963e-02,1.000963e-02,1.000963e-02,1.000963e-02
3.490540e+03,9.998214e-03,9.998214e-03,9.998214e-03,9.998214e-03
3.616459e+03,1.001491e-02,1.001491e-02,1.001491e-02,1.001491e-02
3.739448e+03,9.966277e-03,9.966277e-03,9.966277e-03,9.966277e-03
3.864463e+03,1.001756e-02,1.001756e-02,1.001756e-02,1.001756e-02
3.990078e+03,1.006499e-02,1.006499e-02,1.006499e-02,1.006499e-02
4.116428e+03,1.002774e-02,1.002774e-02,1.002774e-02,1.002774e-02
4.242903e+03,1.001548e-02,1.001548e-02,1.001548e-02,1.001548e-02
4.366872e+03,9.996261e-03,9.996261e-03,9.996261e-03,9.996261e-03
4.489965e+03,9.997188e-03,9.997188e-03,9.997188e-03,9.997188e-03
4.615892e+03,1.002960e-02,1.002960e-02,1.002960e-02,1.002960e-02
4.741020e+03,1.002319e-02,1.002319e-02,1.002319e-02,1.002319e-02
4.867434e+03,1.002663e-02,1.002663e-02,1.002663e-02,1.002663e-02
4.991833e+03,9.995279e-03,9.995279e-03,9.995279e-03,9.995279e-03
5.116313e+03,9.986297e-03,9.986297e-03,9.986297e-03,9.986297e-03
5.239653e+03,1.003130e-02,1.003130e-02,1.003130e-02,1.003130e-02
5.364903e+03,1.007294e-02,1.007294e-02,1.007294e-02,1.007294e-02
5.492966e+03,1.009277e-02,1.009277e-02,1.009277e-02,1.009277e-02
5.623305e+03,1.009961e-02,1.009961e-02,1.009961e-02,1.009961e-02
5.748056e+03,1.009470e-02,1.009470e-02,1.009470e-02,1.009470e-02
5.871505e+03,1.011017e-02,1.011017e-02,1.011017e-02,1.011017e-02
5.995098e+03,1.012795e-02,1.012795e-02,1.012795e-02,1.012795e-02
6.123216e+03,1.011177e-02,1.011177e-02,1.011177e-02,1.011177e-02
6.247470e+03,1.003288e-02,1.003288e-02,1.003288e-02,1.003288e-02
6.372787e+03,1.007218e-02,1.007218e-02,1.007218e-02,1.007218e-02
6.497264e+03,1.005968e-02,1.005968e-02,1.005968e-02,1.005968e-02
6.622074e+03,1.001820e-02,1.001820e-02,1.001820e-02,1.001820e-02
6.746172e+03,1.000569e-02,1.000569e-02,1.000569e-02,1.000569e-02
6.871865e+03,1.001266e-02,1.001266e-02,1.001266e-02,1.001266e-02
6.996648e+03,9.983419e-03,9.983419e-03,9.983419e-03,9.983419e-03
7.123061e+03,1.001249e-02,1.001249e-02,1.001249e-02,1.001249e-02
7.247195e+03,9.965102e-03,9.965102e-03,9.965102e-03,9.965102e-03
7.370852e+03,9.957242e-03,9.957242e-03,9.957242e-03,9.957242e-03
7.494246e+03,9.972301e-03,9.972301e-03,9.972301e-03,9.972301e-03
7.621453e+03,1.003847e-02,1.003847e-02,1.003847e-02,1.003847e-02
7.749544e+03,1.005750e-02,1.005750e-02,1.005750e-02,1.005750e-02
7.874816e+03,1.006685e-02,1.006685e-02,1.006685e-02,1.006685e-02
7.999867e+03,1.003228e-02,1.003228e-02,1.003228e-02,1.003228e-02
8.124510e+03,1.006692e-02,1.006692e-02,1.006692e-02,1.006692e-02
8.249359e+03,1.004452e-02,1.004452e-02,1.004452e-02,1.004452e-02
8.373837e+03,1.001847e-02,1.001847e-02,1.001847e-02,1.001847e-02
8.499239e+03,1.004230e-02,1.004230e-02,1.004230e-02,1.004230e-02
8.625933e+03,1.003642e-02,1.003642e-02,1.003642e-02,1.003642e-02
8.750149e+03,1.005014e-02,1.005014e-02,1.005014e-02,1.005014e-02
8.874024e+03,1.004385e-02,1.004385e-02,1.004385e-02,1.004385e-02
8.998341e+03,9.974205e-03,9.974205e-03,9.974205e-03,9.974205e-03
9.125109e+03,9.988786e-03,9.988786e-03,9.988786e-03,9.988786e-03
9.250687e+03,9.924780e-03,9.924780e-03,9.924780e-03,9.924780e-03
9.376332e+03,9.937891e-03,9.937891e-03,9.937891e-03,9.937891e-03
9.500220e+03,9.948974e-03,9.948974e-03,9.948974e-03,9.948974e-03
9.625429e+03,9.974085e-03,9.974085e-03,9.974085e-03,9.974085e-03
9.749606e+03,9.951332e-03,9.951332e-03,9.951332e-03,9.951332e-03
9.875644e+03,9.960082e-03,9.960082e-03,9.960082e-03,9.960082e-03
1.000145e+04,9.938767e-03,9.938767e-03,9.938767e-03,9.938767e-03
1.012458e+04,9.910060e-03,9.910060e-03,9.910060e-03,9.910060e-03
1.024794e+04,9.935616e-03,9.935616e-03,9.935616e-03,9.935616e-03
