timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
2.271844e+02,2.188063e-02,2.188063e-02,2.188063e-02,2.188063e-02
3.017693e+02,1.753810e-02,1.753810e-02,1.753810e-02,1.753810e-02
3.181302e+02,1.468137e-02,1.468137e-02,1.468137e-02,1.468137e-02
3.330825e+02,1.263310e-02,1.263310e-02,1.263310e-02,1.263310e-02
3.479492e+02,1.105215e-02,1.105215e-02,1.105215e-02,1.105215e-02
3.628077e+02,9.844581e-03,9.844581e-03,9.844581e-03,9.844581e-03
3.777456e+02,8.806178e-03,8.806178e-03,8.806178e-03,8.806178e-03
3.944050e+02,8.013381e-03,8.013381e-03,8.013381e-03,8.013381e-03
4.094459e+02,7.359176e-03,7.359176e-03,7.359176e-03,7.359176e-03
4.239746e+02,6.808964e-03,6.808964e-03,6.808964e-03,6.808964e-03
4.375361e+02,6.321935e-03,6.321935e-03,6.321935e-03,6.321935e-03
4.512811e+02,5.901562e-03,5.901561e-03,5.901561e-03,5.901561e-03
4.661910e+02,5.538621e-03,5.538621e-03,5.538621e-03,5.538621e-03
4.819408e+02,5.204574e-03,5.204574e-03,5.204574e-03,5.204574e-03
4.939812e+02,4.916409e-03,4.916409e-03,4.916409e-03,4.916409e-03
5.057689e+02,4.656188e-03,4.656188e-03,4.656188e-03,4.656188e-03
5.167689e+02,4.414631e-03,4.414631e-03,4.414631e-03,4.414631e-03
5.292143e+02,4.210912e-03,4.210912e-03,4.210912e-03,4.210912e-03
5.398529e+02,4.016326e-03,4.016326e-03,4.016326e-03,4.016326e-03
5.507945e+02,3.842399e-03,3.842399e-03,3.842399e-03,3.842399e-03
5.614314e+02,3.679727e-03,3.679728e-03,3.679728e-03,3.679728e-03
5.733743e+02,3.533796e-03,3.533796e-03,3.533796e-03,3.533796e-03
5.839628e+02,3.395227e-03,3.395227e-03,3.395227e-03,3.395227e-03
5.948815e+02,3.274981e-03,3.274981e-03,3.274981e-03,3.274981e-03
6.078598e+02,3.156757e-03,3.156757e-03,3.156757e-03,3.156757e-03
6.187636e+02,3.054444e-03,3.054444e-03,3.054444e-03,3.054444e-03
6.290243e+02,2.956008e-03,2.956008e-03,2.956008e-03,2.956008e-03
6.392264e+02,2.865487e-03,2.865487e-03,2.865487e-03,2.865487e-03
6.496871e+02,2.780494e-03,2.780494e-03,2.780494e-03,2.780494e-03
6.602480e+02,2.695035e-03,2.695035e-03,2.695035e-03,2.695035e-03
6.708272e+02,2.613322e-03,2.613322e-03,2.613322e-03,2.613322e-03
6.813225e+02,2.537745e-03,2.537745e-03,2.537745e-03,2.537745e-03
6.930067e+02,2.469633e-03,2.469633e-03,2.469633e-03,2.469633e-03
7.043901e+02,2.405785e-03,2.405785e-03,2.405785e-03,2.405785e-03
7.149754e+02,2.342276e-03,2.342276e-03,2.342276e-03,2.342276e-03
7.268012e+02,2.282825e-03,2.282825e-03,2.282825e-03,2.282825e-03
7.372452e+02,2.226657e-03,2.226657e-03,2.226657e-03,2.226657e-03
7.475199e+02,2.172724e-03,2.172724e-03,2.172724e-03,2.172724e-03
7.586786e+02,2.118570e-03,2.118570e-03,2.118570e-03,2.118570e-03
7.692788e+02,2.069171e-03,2.069171e-03,2.069171e-03,2.069171e-03
7.798533e+02,2.022676e-03,2.022676e-03,2.022676e-03,2.022676e-03
7.911093e+02,1.979550e-03,1.979550e-03,1.979550e-03,1.979550e-03
8.034889e+02,1.937340e-03,1.937340e-03,1.937340e-03,1.937340e-03
8.140893e+02,1.895893e-03,1.895893e-03,1.895893e-03,1.895893e-03
8.261492e+02,1.858018e-03,1.858018e-03,1.858018e-03,1.858018e-03
8.373090e+02,1.820594e-03,1.820594e-03,1.820594e-03,1.820594e-03
8.476320e+02,1.784748e-03,1.784748e-03,1.784748e-03,1.784748e-03
8.602946e+02,1.752123e-03,1.752123e-03,1.752123e-03,1.752123e-03
8.709236e+02,1.721899e-03,1.721899e-03,1.721899e-03,1.721899e-03
8.812909e+02,1.689442e-03,1.689442e-03,1.689442e-03,1.689442e-03
8.937903e+02,1.658922e-03,1.658922e-03,1.658922e-03,1.658922e-03
9.063403e+02,1.631007e-03,1.631007e-03,1.631007e-03,1.631007e-03
9.171523e+02,1.602244e-03,1.602244e-03,1.602244e-03,1.602244e-03
9.290255e+02,1.576651e-03,1.576651e-03,1.576651e-03,1.576651e-03
9.406413e+02,1.549535e-03,1.549535e-03,1.549535e-03,1.549535e-03
9.510782e+02,1.523249e-03,1.523249e-03,1.523249e-03,1.523249e-03
9.623640e+02,1.497976e-03,1.497976e-03,1.497976e-03,1.497976e-03
9.739668e+02,1.474701e-03,1.474701e-03,1.474701e-03,1.474701e-03
9.845204e+02,1.451299e-03,1.451299e-03,1.451299e-03,1.451299e-03
9.958207e+02,1.428641e-03,1.428641e-03,1.428641e-03,1.428641e-03
1.008580e+03,1.407170e-03,1.407170e-03,1.407170e-03,1.407170e-03
1.019157e+03,1.385557e-03,1.385557e-03,1.385557e-03,1.385557e-03
1.029627e+03,1.364560e-03,1.364560e-03,1.364560e-03,1.364560e-03
1.041419e+03,1.345618e-03,1.345618e-03,1.345618e-03,1.345618e-03
1.051872e+03,1.326152e-03,1.326152e-03,1.326152e-03,1.326152e-03
1.062349e+03,1.307938e-03,1.307938e-03,1.307938e-03,1.307938e-03
1.074088e+03,1.290151e-03,1.290151e-03,1.290151e-03,1.290151e-03
1.084502e+03,1.272706e-03,1.272706e-03,1.272706e-03,1.272706e-03
1.094938e+03,1.255902e-03,1.255902e-03,1.255902e-03,1.255902e-03
1.107056e+03,1.239067e-03,1.239067e-03,1.239067e-03,1.239067e-03
1.118718e+03,1.222308e-03,1.222308e-03,1.222308e-03,1.222308e-03
1.129218e+03,1.207403e-03,1.207403e-03,1.207403e-03,1.207403e-03
1.139761e+03,1.192103e-03,1.192103e-03,1.192103e-03,1.192103e-03
1.150012e+03,1.177271e-03,1.177271e-03,1.177271e-03,1.177271e-03
1.160349e+03,1.163047e-03,1.163047e-03,1.163047e-03,1.163047e-03
1.170925e+03,1.148722e-03,1.148722e-03,1.148722e-03,1.148722e-03
1.181262e+03,1.134606e-03,1.134606e-03,1.134606e-03,1.134606e-03
1.191655e+03,1.121339e-03,1.121339e-03,1.121339e-03,1.121339e-03
1.201896e+03,1.108478e-03,1.108478e-03,1.108478e-03,1.108478e-03
1.212234e+03,1.095223e-03,1.095223e-03,1.095223e-03,1.095223e-03
1.223994e+03,1.082254e-03,1.082254e-03,1.082254e-03,1.082254e-03
1.234412e+03,1.069898e-03,1.069898e-03,1.069898e-03,1.069898e-03
1.244820e+03,1.058062e-03,1.058062e-03,1.058062e-03,1.058062e-03
1.255869e+03,1.046919e-03,1.046919e-03,1.046919e-03,1.046919e-03
1.266237e+03,1.035165e-03,1.035165e-03,1.035165e-03,1.035165e-03
1.278223e+03,1.023694e-03,1.023694e-03,1.023694e-03,1.023694e-03
1.288527e+03,1.012611e-03,1.012611e-03,1.012611e-03,1.012611e-03
1.298887e+03,1.001224e-03,1.001224e-03,1.001224e-03,1.001224e-03
