timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
1.342066e+02,8.998390e-02,8.998390e-02,8.998390e-02,8.998390e-02
1.780774e+02,8.535436e-02,8.535436e-02,8.535436e-02,8.535436e-02
1.903882e+02,8.652856e-02,8.652856e-02,8.652856e-02,8.652856e-02
2.026130e+02,8.516460e-02,8.516460e-02,8.516460e-02,8.516460e-02
2.163217e+02,8.757593e-02,8.757593e-02,8.757593e-02,8.757593e-02
2.289750e+02,8.774369e-02,8.774369e-02,8.774369e-02,8.774369e-02
2.478899e+02,8.627192e-02,8.627192e-02,8.627192e-02,8.627192e-02
2.602249e+02,8.417062e-02,8.417062e-02,8.417062e-02,8.417062e-02
2.725254e+02,8.749670e-02,8.749670e-02,8.749670e-02,8.749670e-02
2.847287e+02,8.641861e-02,8.641861e-02,8.641861e-02,8.641861e-02
2.968375e+02,8.944597e-02,8.944597e-02,8.944597e-02,8.944597e-02
3.089523e+02,8.636683e-02,8.636683e-02,8.636683e-02,8.636683e-02
3.211196e+02,8.532560e-02,8.532560e-02,8.532560e-02,8.532560e-02
3.336938e+02,8.791473e-02,8.791472e-02,8.791472e-02,8.791472e-02
3.458846e+02,8.714328e-02,8.714329e-02,8.714329e-02,8.714329e-02
3.589677e+02,8.728417e-02,8.728417e-02,8.728417e-02,8.728417e-02
3.711549e+02,8.669607e-02,8.669607e-02,8.669607e-02,8.669607e-02
3.810406e+02,8.425341e-02,8.425341e-02,8.425341e-02,8.425341e-02
3.923860e+02,8.873523e-02,8.873523e-02,8.873523e-02,8.873523e-02
4.031122e+02,8.937316e-02,8.937316e-02,8.937316e-02,8.937316e-02
4.160303e+02,8.752963e-02,8.752963e-02,8.752963e-02,8.752963e-02
4.280252e+02,8.851864e-02,8.851864e-02,8.851864e-02,8.851864e-02
4.401936e+02,8.890969e-02,8.890969e-02,8.890969e-02,8.890969e-02
4.502917e+02,9.213521e-02,9.213521e-02,9.213521e-02,9.213521e-02
4.617245e+02,9.073979e-02,9.073979e-02,9.073979e-02,9.073979e-02
4.728118e+02,8.869422e-02,8.869422e-02,8.869422e-02,8.869422e-02
4.830950e+02,8.298738e-02,8.298738e-02,8.298738e-02,8.298738e-02
4.948177e+02,8.541029e-02,8.541029e-02,8.541029e-02,8.541029e-02
5.058794e+02,8.838049e-02,8.838050e-02,8.838050e-02,8.838050e-02
5.164789e+02,8.717080e-02,8.717080e-02,8.717080e-02,8.717080e-02
5.283552e+02,8.719187e-02,8.719187e-02,8.719187e-02,8.719187e-02
5.393743e+02,8.750360e-02,8.750360e-02,8.750360e-02,8.750360e-02
5.499219e+02,8.970130e-02,8.970130e-02,8.970130e-02,8.970130e-02
5.616954e+02,8.658574e-02,8.658574e-02,8.658574e-02,8.658574e-02
5.731818e+02,8.807132e-02,8.807133e-02,8.807133e-02,8.807133e-02
5.835915e+02,8.926588e-02,8.926588e-02,8.926588e-02,8.926588e-02
5.952594e+02,8.790482e-02,8.790482e-02,8.790482e-02,8.790482e-02
6.062982e+02,8.910780e-02,8.910780e-02,8.910780e-02,8.910780e-02
6.166395e+02,8.949216e-02,8.949216e-02,8.949216e-02,8.949216e-02
6.297241e+02,8.724254e-02,8.724254e-02,8.724254e-02,8.724254e-02
6.404208e+02,9.211107e-02,9.211107e-02,9.211107e-02,9.211107e-02
6.513936e+02,9.077493e-02,9.077493e-02,9.077493e-02,9.077493e-02
6.618682e+02,8.592150e-02,8.592151e-02,8.592151e-02,8.592151e-02
6.725426e+02,8.785155e-02,8.785155e-02,8.785155e-02,8.785155e-02
6.828775e+02,8.594745e-02,8.594745e-02,8.594745e-02,8.594745e-02
