timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.900973e+02,2.078422e-01,2.078422e-01,2.078422e-01,2.078422e-01
5.786438e+02,1.433485e-01,1.433485e-01,1.433485e-01,1.433485e-01
7.519049e+02,1.064985e-01,1.064985e-01,1.064985e-01,1.064985e-01
9.220106e+02,8.306933e-02,8.306933e-02,8.306933e-02,8.306933e-02
1.094231e+03,6.708708e-02,6.708708e-02,6.708708e-02,6.708708e-02
1.262925e+03,5.568270e-02,5.568270e-02,5.568270e-02,5.568270e-02
1.429205e+03,4.725711e-02,4.725712e-02,4.725712e-02,4.725712e-02
1.613502e+03,4.080690e-02,4.080690e-02,4.080690e-02,4.080690e-02
1.781667e+03,3.571146e-02,3.571146e-02,3.571146e-02,3.571146e-02
1.939833e+03,3.163408e-02,3.163408e-02,3.163408e-02,3.163408e-02
2.093336e+03,2.831431e-02,2.831431e-02,2.831431e-02,2.831431e-02
2.248003e+03,2.553604e-02,2.553604e-02,2.553604e-02,2.553604e-02
2.403509e+03,2.320116e-02,2.320116e-02,2.320116e-02,2.320116e-02
2.560318e+03,2.120914e-02,2.120914e-02,2.120914e-02,2.120914e-02
2.716016e+03,1.949051e-02,1.949051e-02,1.949051e-02,1.949051e-02
2.873654e+03,1.799821e-02,1.799821e-02,1.799821e-02,1.799821e-02
3.031560e+03,1.668696e-02,1.668696e-02,1.668696e-02,1.668696e-02
3.185302e+03,1.552725e-02,1.552725e-02,1.552725e-02,1.552725e-02
3.341991e+03,1.450504e-02,1.450504e-02,1.450504e-02,1.450504e-02
3.497896e+03,1.358212e-02,1.358212e-02,1.358212e-02,1.358212e-02
3.653888e+03,1.275440e-02,1.275440e-02,1.275440e-02,1.275440e-02
3.814483e+03,1.200546e-02,1.200546e-02,1.200546e-02,1.200546e-02
3.969900e+03,1.132162e-02,1.132162e-02,1.132162e-02,1.132162e-02
4.125015e+03,1.069936e-02,1.069936e-02,1.069936e-02,1.069936e-02
4.280233e+03,1.013396e-02,1.013396e-02,1.013396e-02,1.013396e-02
4.434960e+03,9.616916e-03,9.616916e-03,9.616916e-03,9.616916e-03
4.590212e+03,9.144917e-03,9.144917e-03,9.144917e-03,9.144917e-03
4.743186e+03,8.710591e-03,8.710591e-03,8.710591e-03,8.710591e-03
