timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.689234e+02,1.300896e-01,1.300896e-01,1.300896e-01,1.300896e-01
5.438942e+02,7.106332e-02,7.106332e-02,7.106332e-02,7.106332e-02
7.062412e+02,4.587005e-02,4.587005e-02,4.587005e-02,4.587005e-02
8.716408e+02,3.427674e-02,3.427674e-02,3.427674e-02,3.427674e-02
1.032402e+03,2.767008e-02,2.767008e-02,2.767008e-02,2.767008e-02
1.191018e+03,2.374358e-02,2.374358e-02,2.374358e-02,2.374358e-02
1.346683e+03,2.141433e-02,2.141433e-02,2.141433e-02,2.141433e-02
1.518850e+03,1.965803e-02,1.965803e-02,1.965803e-02,1.965803e-02
1.699139e+03,1.824888e-02,1.824888e-02,1.824888e-02,1.824888e-02
1.878526e+03,1.736281e-02,1.736281e-02,1.736281e-02,1.736281e-02
2.064972e+03,1.673221e-02,1.673221e-02,1.673221e-02,1.673221e-02
2.254774e+03,1.601088e-02,1.601088e-02,1.601088e-02,1.601088e-02
2.431069e+03,1.552634e-02,1.552634e-02,1.552634e-02,1.552634e-02
2.592828e+03,1.517247e-02,1.517247e-02,1.517247e-02,1.517247e-02
2.760662e+03,1.489303e-02,1.489303e-02,1.489303e-02,1.489303e-02
2.911410e+03,1.453350e-02,1.453350e-02,1.453350e-02,1.453350e-02
3.074097e+03,1.432547e-02,1.432547e-02,1.432547e-02,1.432547e-02
3.238351e+03,1.429732e-02,1.429732e-02,1.429732e-02,1.429732e-02
3.415947e+03,1.404485e-02,1.404485e-02,1.404485e-02,1.404485e-02
3.576825e+03,1.378082e-02,1.378082e-02,1.378082e-02,1.378082e-02
3.736699e+03,1.368008e-02,1.368008e-02,1.368008e-02,1.368008e-02
3.891210e+03,1.383982e-02,1.383982e-02,1.383982e-02,1.383982e-02
4.046074e+03,1.357841e-02,1.357841e-02,1.357841e-02,1.357841e-02
4.204625e+03,1.350720e-02,1.350720e-02,1.350720e-02,1.350720e-02
4.360438e+03,1.348631e-02,1.348631e-02,1.348631e-02,1.348631e-02
4.515098e+03,1.356681e-02,1.356681e-02,1.356681e-02,1.356681e-02
4.673552e+03,1.347787e-02,1.347787e-02,1.347787e-02,1.347787e-02
4.835882e+03,1.362836e-02,1.362836e-02,1.362836e-02,1.362836e-02
4.990566e+03,1.321516e-02,1.321516e-02,1.321516e-02,1.321516e-02
5.145581e+03,1.330321e-02,1.330321e-02,1.330321e-02,1.330321e-02
5.300131e+03,1.311449e-02,1.311450e-02,1.311450e-02,1.311450e-02
5.454590e+03,1.306486e-02,1.306486e-02,1.306486e-02,1.306486e-02
5.612599e+03,1.297891e-02,1.297891e-02,1.297891e-02,1.297891e-02
5.772321e+03,1.297872e-02,1.297872e-02,1.297872e-02,1.297872e-02
5.933391e+03,1.293093e-02,1.293093e-02,1.293093e-02,1.293093e-02
6.091200e+03,1.286401e-02,1.286401e-02,1.286401e-02,1.286401e-02
6.247307e+03,1.289168e-02,1.289169e-02,1.289169e-02,1.289169e-02
6.402999e+03,1.284347e-02,1.284347e-02,1.284347e-02,1.284347e-02
6.562305e+03,1.284847e-02,1.284847e-02,1.284847e-02,1.284847e-02
6.720242e+03,1.308720e-02,1.308720e-02,1.308720e-02,1.308720e-02
6.880069e+03,1.296465e-02,1.296465e-02,1.296465e-02,1.296465e-02
7.038360e+03,1.306107e-02,1.306107e-02,1.306107e-02,1.306107e-02
7.191616e+03,1.295149e-02,1.295149e-02,1.295149e-02,1.295149e-02
7.347431e+03,1.280374e-02,1.280374e-02,1.280374e-02,1.280374e-02
7.503371e+03,1.272789e-02,1.272789e-02,1.272789e-02,1.272789e-02
7.663412e+03,1.277257e-02,1.277257e-02,1.277257e-02,1.277257e-02
7.825217e+03,1.298110e-02,1.298110e-02,1.298110e-02,1.298110e-02
7.981355e+03,1.302660e-02,1.302660e-02,1.302660e-02,1.302660e-02
8.135647e+03,1.284069e-02,1.284069e-02,1.284069e-02,1.284069e-02
8.306781e+03,1.286909e-02,1.286909e-02,1.286909e-02,1.286909e-02
8.479235e+03,1.287734e-02,1.287734e-02,1.287734e-02,1.287734e-02
8.634704e+03,1.290931e-02,1.290931e-02,1.290931e-02,1.290931e-02
8.793919e+03,1.359236e-02,1.359236e-02,1.359236e-02,1.359236e-02
8.966412e+03,1.280954e-02,1.280954e-02,1.280954e-02,1.280954e-02
9.132945e+03,1.277490e-02,1.277490e-02,1.277490e-02,1.277490e-02
9.300231e+03,1.273295e-02,1.273295e-02,1.273295e-02,1.273295e-02
9.464069e+03,1.307473e-02,1.307473e-02,1.307473e-02,1.307473e-02
9.632129e+03,1.275980e-02,1.275980e-02,1.275980e-02,1.275980e-02
9.808170e+03,1.307940e-02,1.307940e-02,1.307940e-02,1.307940e-02
9.966183e+03,1.291439e-02,1.291439e-02,1.291439e-02,1.291439e-02
1.013704e+04,1.276769e-02,1.276769e-02,1.276769e-02,1.276769e-02
1.029127e+04,1.277642e-02,1.277643e-02,1.277643e-02,1.277643e-02
1.045896e+04,1.305846e-02,1.305846e-02,1.305846e-02,1.305846e-02
1.061343e+04,1.279584e-02,1.279584e-02,1.279584e-02,1.279584e-02
1.077557e+04,1.289750e-02,1.289750e-02,1.289750e-02,1.289750e-02
1.093106e+04,1.282373e-02,1.282373e-02,1.282373e-02,1.282373e-02
1.108343e+04,1.279219e-02,1.279219e-02,1.279219e-02,1.279219e-02
1.123527e+04,1.300592e-02,1.300592e-02,1.300592e-02,1.300592e-02
1.138982e+04,1.291280e-02,1.291280e-02,1.291280e-02,1.291280e-02
1.154264e+04,1.285363e-02,1.285363e-02,1.285363e-02,1.285363e-02
1.169501e+04,1.291293e-02,1.291293e-02,1.291293e-02,1.291293e-02
1.184659e+04,1.281797e-02,1.281797e-02,1.281797e-02,1.281797e-02
1.199843e+04,1.313899e-02,1.313899e-02,1.313899e-02,1.313899e-02
1.215273e+04,1.281411e-02,1.281411e-02,1.281411e-02,1.281411e-02
1.231261e+04,1.282244e-02,1.282244e-02,1.282244e-02,1.282244e-02
1.246764e+04,1.286448e-02,1.286448e-02,1.286448e-02,1.286448e-02
1.262197e+04,1.292822e-02,1.292822e-02,1.292822e-02,1.292822e-02
1.277806e+04,1.315545e-02,1.315545e-02,1.315545e-02,1.315545e-02
1.292919e+04,1.287234e-02,1.287234e-02,1.287234e-02,1.287234e-02
