timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
4.917627e+02,3.638763e-01,3.638763e-01,3.638763e-01,3.638763e-01
7.181880e+02,2.964341e-01,2.964341e-01,2.964341e-01,2.964341e-01
9.357848e+02,2.575907e-01,2.575907e-01,2.575907e-01,2.575907e-01
1.145007e+03,2.419874e-01,2.419874e-01,2.419874e-01,2.419874e-01
1.352634e+03,3.605366e-01,3.605366e-01,3.605366e-01,3.605366e-01
1.560876e+03,2.347605e+00,2.347605e+00,2.347605e+00,2.347605e+00
1.771594e+03,3.526488e+01,3.526488e+01,3.526488e+01,3.526488e+01
1.982025e+03,5.932872e+02,5.932872e+02,5.932872e+02,5.932872e+02
2.190617e+03,1.205762e+04,1.205762e+04,1.205762e+04,1.205762e+04
2.405365e+03,2.885970e+05,2.885970e+05,2.885970e+05,2.885970e+05
2.619488e+03,7.379758e+06,7.379758e+06,7.379758e+06,7.379758e+06
2.835253e+03,1.959463e+08,1.959463e+08,1.959463e+08,1.959463e+08
3.050354e+03,5.550863e+09,5.550863e+09,5.550863e+09,5.550863e+09
3.260445e+03,1.607374e+11,1.607374e+11,1.607374e+11,1.607374e+11
3.472398e+03,4.877507e+12,4.877507e+12,4.877507e+12,4.877507e+12
3.683825e+03,1.449346e+14,1.449346e+14,1.449346e+14,1.449346e+14
3.896527e+03,4.355211e+15,4.355211e+15,4.355211e+15,4.355211e+15
4.109266e+03,1.331242e+17,1.331242e+17,1.331242e+17,1.331242e+17
4.321445e+03,4.204393e+18,4.204393e+18,4.204393e+18,4.204393e+18
4.533790e+03,1.291469e+20,1.291469e+20,1.291469e+20,1.291469e+20
4.745920e+03,4.084441e+21,4.084441e+21,4.084441e+21,4.084441e+21
4.957586e+03,1.280847e+23,1.280847e+23,1.280847e+23,1.280847e+23
5.170656e+03,3.915553e+24,3.915553e+24,3.915553e+24,3.915553e+24
5.385073e+03,1.245769e+26,1.245769e+26,1.245769e+26,1.245769e+26
5.597323e+03,3.988380e+27,3.988380e+27,3.988380e+27,3.988380e+27
5.808809e+03,1.298059e+29,1.298059e+29,1.298059e+29,1.298059e+29
6.019447e+03,4.122753e+30,4.122753e+30,4.122753e+30,4.122753e+30
6.230581e+03,1.299818e+32,1.299818e+32,1.299818e+32,1.299818e+32
6.443541e+03,inf,inf,inf,inf
6.676476e+03,inf,inf,inf,inf
6.897716e+03,inf,inf,inf,inf
7.112000e+03,inf,inf,inf,inf
7.327088e+03,inf,inf,inf,inf
7.541587e+03,inf,inf,inf,inf
7.757560e+03,inf,inf,inf,inf
7.986206e+03,inf,inf,inf,inf
8.239556e+03,inf,inf,inf,inf
8.509201e+03,inf,inf,inf,inf
8.779161e+03,inf,inf,inf,inf
9.044938e+03,inf,inf,inf,inf
9.284090e+03,inf,inf,inf,inf
