timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.970748e+02,2.695815e-01,2.695815e-01,2.695815e-01,2.695815e-01
6.285401e+02,2.128539e-01,2.128539e-01,2.128539e-01,2.128539e-01
8.874171e+02,1.869000e-01,1.869000e-01,1.869000e-01,1.869000e-01
1.112080e+03,1.677780e-01,1.677780e-01,1.677780e-01,1.677780e-01
1.361463e+03,2.211835e-01,2.211834e-01,2.211834e-01,2.211834e-01
1.599468e+03,2.874713e+00,2.874713e+00,2.874713e+00,2.874713e+00
1.814516e+03,8.903933e+01,8.903932e+01,8.903932e+01,8.903932e+01
2.031148e+03,3.250944e+03,3.250944e+03,3.250944e+03,3.250944e+03
2.250882e+03,1.328773e+05,1.328773e+05,1.328773e+05,1.328773e+05
2.468409e+03,5.646182e+06,5.646182e+06,5.646182e+06,5.646182e+06
2.683166e+03,2.133035e+08,2.133035e+08,2.133035e+08,2.133035e+08
2.901148e+03,8.877447e+09,8.877447e+09,8.877447e+09,8.877447e+09
3.118383e+03,3.801559e+11,3.801559e+11,3.801559e+11,3.801559e+11
3.336401e+03,1.531007e+13,1.531007e+13,1.531007e+13,1.531007e+13
3.558216e+03,7.047596e+14,7.047596e+14,7.047596e+14,7.047596e+14
3.774786e+03,3.520467e+16,3.520467e+16,3.520467e+16,3.520467e+16
3.999789e+03,1.996204e+18,1.996204e+18,1.996204e+18,1.996204e+18
4.217131e+03,9.200701e+19,9.200701e+19,9.200701e+19,9.200701e+19
4.438914e+03,4.294770e+21,4.294770e+21,4.294770e+21,4.294770e+21
4.656677e+03,2.011753e+23,2.011753e+23,2.011753e+23,2.011753e+23
4.879966e+03,1.012570e+25,1.012570e+25,1.012570e+25,1.012570e+25
5.101507e+03,3.702498e+26,3.702498e+26,3.702498e+26,3.702498e+26
5.316086e+03,1.778705e+28,1.778705e+28,1.778705e+28,1.778705e+28
5.535612e+03,1.026268e+30,1.026268e+30,1.026268e+30,1.026268e+30
5.754167e+03,4.087942e+31,4.087942e+31,4.087942e+31,4.087942e+31
5.975469e+03,inf,inf,inf,inf
6.247605e+03,inf,inf,inf,inf
6.509372e+03,inf,inf,inf,inf
6.777054e+03,inf,inf,inf,inf
7.036803e+03,inf,inf,inf,inf
7.283154e+03,inf,inf,inf,inf
7.509830e+03,inf,inf,inf,inf
7.738265e+03,inf,inf,inf,inf
7.971251e+03,inf,inf,inf,inf
8.187942e+03,inf,inf,inf,inf
8.407808e+03,inf,inf,inf,inf
8.623734e+03,inf,inf,inf,inf
8.842885e+03,inf,inf,inf,inf
9.066306e+03,inf,inf,inf,inf
9.296581e+03,inf,inf,inf,inf
9.530415e+03,inf,inf,inf,inf
9.755867e+03,inf,inf,inf,inf
9.983261e+03,inf,inf,inf,inf
1.020575e+04,inf,inf,inf,inf
1.043877e+04,inf,inf,inf,inf
1.066546e+04,inf,inf,inf,inf
1.089730e+04,inf,inf,inf,inf
1.112830e+04,inf,inf,inf,inf
1.135514e+04,inf,inf,inf,inf
1.158382e+04,inf,inf,inf,inf
1.181493e+04,inf,inf,inf,inf
1.203949e+04,inf,inf,inf,inf
1.226951e+04,inf,inf,inf,inf
1.250171e+04,inf,inf,inf,inf
1.276075e+04,inf,inf,inf,inf
1.300195e+04,inf,inf,inf,inf
1.323578e+04,inf,inf,inf,inf
1.350159e+04,inf,inf,inf,inf
1.374454e+04,inf,inf,inf,inf
1.398450e+04,inf,inf,inf,inf
1.421994e+04,inf,inf,inf,inf
1.445305e+04,inf,inf,inf,inf
1.468127e+04,inf,inf,inf,inf
1.491322e+04,inf,inf,inf,inf
1.515139e+04,inf,inf,inf,inf
1.537975e+04,inf,inf,inf,inf
1.560345e+04,inf,inf,inf,inf
1.582732e+04,inf,inf,inf,inf
1.608300e+04,inf,inf,inf,inf
1.634367e+04,inf,inf,inf,inf
1.659781e+04,inf,inf,inf,inf
1.683271e+04,inf,inf,inf,inf
1.708169e+04,inf,inf,inf,inf
1.735369e+04,inf,inf,inf,inf
1.760064e+04,inf,inf,inf,inf
1.784289e+04,inf,inf,inf,inf
1.807427e+04,inf,inf,inf,inf
1.829910e+04,inf,inf,inf,inf
1.851851e+04,inf,inf,inf,inf
1.873538e+04,inf,inf,inf,inf
1.896358e+04,inf,inf,inf,inf
1.918217e+04,inf,inf,inf,inf
1.941063e+04,inf,inf,inf,inf
1.963018e+04,inf,inf,inf,inf
1.986095e+04,inf,inf,inf,inf
2.008347e+04,inf,inf,inf,inf
2.030957e+04,inf,inf,inf,inf
2.053626e+04,inf,inf,inf,inf
2.076356e+04,inf,inf,inf,inf
2.098654e+04,inf,inf,inf,inf
2.121515e+04,inf,inf,inf,inf
2.143704e+04,inf,inf,inf,inf
2.167019e+04,inf,inf,inf,inf
2.189068e+04,inf,inf,inf,inf
2.211355e+04,inf,inf,inf,inf
2.233825e+04,inf,inf,inf,inf
2.256202e+04,inf,inf,inf,inf
2.279269e+04,inf,inf,inf,inf
2.301812e+04,inf,inf,inf,inf
2.324496e+04,inf,inf,inf,inf
2.346881e+04,inf,inf,inf,inf
2.369818e+04,inf,inf,inf,inf
2.393164e+04,inf,inf,inf,inf
2.415251e+04,inf,inf,inf,inf
2.438542e+04,inf,inf,inf,inf
2.460439e+04,inf,inf,inf,inf
2.483590e+04,inf,inf,inf,inf
2.506375e+04,inf,inf,inf,inf
2.529333e+04,inf,inf,inf,inf
2.552668e+04,inf,inf,inf,inf
2.575468e+04,inf,inf,inf,inf
2.599017e+04,inf,inf,inf,inf
2.635446e+04,inf,inf,inf,inf
2.658537e+04,inf,inf,inf,inf
2.681313e+04,inf,inf,inf,inf
2.703967e+04,inf,inf,inf,inf
2.727368e+04,inf,inf,inf,inf
2.750296e+04,inf,inf,inf,inf
2.773523e+04,inf,inf,inf,inf
2.796464e+04,inf,inf,inf,inf
2.819635e+04,inf,inf,inf,inf
2.842890e+04,inf,inf,inf,inf
2.865771e+04,inf,inf,inf,inf
2.889429e+04,inf,inf,inf,inf
2.912572e+04,inf,inf,inf,inf
