timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
1.065730e+02,2.644803e-01,2.644803e-01,2.644803e-01,2.644803e-01
1.828513e+02,1.968785e-01,1.968785e-01,1.968785e-01,1.968785e-01
2.010506e+02,1.572654e-01,1.572654e-01,1.572654e-01,1.572654e-01
2.144697e+02,1.315692e-01,1.315692e-01,1.315692e-01,1.315692e-01
2.280759e+02,1.131968e-01,1.131968e-01,1.131968e-01,1.131968e-01
2.429716e+02,9.917363e-02,9.917362e-02,9.917362e-02,9.917362e-02
2.574613e+02,8.847847e-02,8.847846e-02,8.847846e-02,8.847846e-02
2.718718e+02,7.994430e-02,7.994430e-02,7.994430e-02,7.994430e-02
2.860543e+02,7.280792e-02,7.280792e-02,7.280792e-02,7.280792e-02
2.993619e+02,6.676815e-02,6.676815e-02,6.676815e-02,6.676815e-02
3.128595e+02,6.170661e-02,6.170661e-02,6.170661e-02,6.170661e-02
3.261603e+02,5.721511e-02,5.721511e-02,5.721511e-02,5.721511e-02
3.404147e+02,5.341889e-02,5.341888e-02,5.341888e-02,5.341888e-02
3.548766e+02,5.004300e-02,5.004299e-02,5.004299e-02,5.004299e-02
3.683565e+02,4.711181e-02,4.711181e-02,4.711181e-02,4.711181e-02
3.789848e+02,4.451984e-02,4.451984e-02,4.451984e-02,4.451984e-02
3.897499e+02,4.210877e-02,4.210877e-02,4.210877e-02,4.210877e-02
4.005445e+02,3.999247e-02,3.999247e-02,3.999247e-02,3.999247e-02
4.112219e+02,3.807377e-02,3.807377e-02,3.807377e-02,3.807377e-02
4.220918e+02,3.629767e-02,3.629767e-02,3.629767e-02,3.629767e-02
4.330984e+02,3.467198e-02,3.467198e-02,3.467198e-02,3.467198e-02
4.438147e+02,3.321466e-02,3.321466e-02,3.321466e-02,3.321466e-02
4.560243e+02,3.187278e-02,3.187278e-02,3.187278e-02,3.187278e-02
4.668746e+02,3.059571e-02,3.059571e-02,3.059571e-02,3.059571e-02
4.788299e+02,2.945424e-02,2.945424e-02,2.945424e-02,2.945424e-02
4.916672e+02,2.843332e-02,2.843332e-02,2.843332e-02,2.843332e-02
5.041240e+02,2.745544e-02,2.745544e-02,2.745544e-02,2.745544e-02
5.160500e+02,2.655177e-02,2.655177e-02,2.655177e-02,2.655177e-02
5.287029e+02,2.573665e-02,2.573665e-02,2.573665e-02,2.573665e-02
5.409582e+02,2.492187e-02,2.492187e-02,2.492187e-02,2.492187e-02
5.524988e+02,2.415548e-02,2.415548e-02,2.415548e-02,2.415548e-02
5.663468e+02,2.344708e-02,2.344708e-02,2.344708e-02,2.344708e-02
5.789549e+02,2.276476e-02,2.276476e-02,2.276476e-02,2.276476e-02
5.915870e+02,2.213869e-02,2.213869e-02,2.213869e-02,2.213869e-02
6.029671e+02,2.152416e-02,2.152416e-02,2.152416e-02,2.152416e-02
6.148849e+02,2.095511e-02,2.095511e-02,2.095511e-02,2.095511e-02
6.275841e+02,2.040636e-02,2.040636e-02,2.040636e-02,2.040636e-02
6.409168e+02,1.990340e-02,1.990340e-02,1.990340e-02,1.990340e-02
6.522789e+02,1.942656e-02,1.942656e-02,1.942656e-02,1.942656e-02
6.651650e+02,1.896126e-02,1.896126e-02,1.896126e-02,1.896126e-02
6.780160e+02,1.852819e-02,1.852819e-02,1.852819e-02,1.852819e-02
6.907422e+02,1.810395e-02,1.810395e-02,1.810395e-02,1.810395e-02
7.022729e+02,1.772344e-02,1.772344e-02,1.772344e-02,1.772344e-02
7.140362e+02,1.734523e-02,1.734523e-02,1.734523e-02,1.734523e-02
7.273035e+02,1.696794e-02,1.696794e-02,1.696794e-02,1.696794e-02
7.406529e+02,1.662416e-02,1.662416e-02,1.662416e-02,1.662416e-02
7.517646e+02,1.629071e-02,1.629071e-02,1.629071e-02,1.629071e-02
7.630534e+02,1.596498e-02,1.596498e-02,1.596498e-02,1.596498e-02
7.757707e+02,1.565480e-02,1.565480e-02,1.565480e-02,1.565480e-02
7.871986e+02,1.534966e-02,1.534966e-02,1.534966e-02,1.534966e-02
7.990582e+02,1.506257e-02,1.506256e-02,1.506256e-02,1.506256e-02
8.103043e+02,1.478736e-02,1.478736e-02,1.478736e-02,1.478736e-02
8.224606e+02,1.451792e-02,1.451792e-02,1.451792e-02,1.451792e-02
8.347892e+02,1.426132e-02,1.426132e-02,1.426132e-02,1.426132e-02
8.500989e+02,1.401684e-02,1.401684e-02,1.401684e-02,1.401684e-02
8.614068e+02,1.377096e-02,1.377096e-02,1.377096e-02,1.377096e-02
8.733391e+02,1.354077e-02,1.354077e-02,1.354077e-02,1.354077e-02
8.855950e+02,1.330507e-02,1.330507e-02,1.330507e-02,1.330507e-02
8.966288e+02,1.308218e-02,1.308218e-02,1.308218e-02,1.308218e-02
9.084443e+02,1.288161e-02,1.288161e-02,1.288161e-02,1.288161e-02
9.203013e+02,1.267907e-02,1.267907e-02,1.267907e-02,1.267907e-02
9.313048e+02,1.247756e-02,1.247756e-02,1.247756e-02,1.247756e-02
9.447674e+02,1.227823e-02,1.227823e-02,1.227823e-02,1.227823e-02
9.573515e+02,1.208898e-02,1.208898e-02,1.208898e-02,1.208898e-02
9.693924e+02,1.190996e-02,1.190996e-02,1.190996e-02,1.190996e-02
9.815441e+02,1.172514e-02,1.172514e-02,1.172514e-02,1.172514e-02
9.939772e+02,1.155026e-02,1.155026e-02,1.155026e-02,1.155026e-02
1.005464e+03,1.138159e-02,1.138159e-02,1.138159e-02,1.138159e-02
1.016681e+03,1.122385e-02,1.122385e-02,1.122385e-02,1.122385e-02
1.027666e+03,1.106745e-02,1.106746e-02,1.106746e-02,1.106746e-02
1.040321e+03,1.092123e-02,1.092123e-02,1.092123e-02,1.092123e-02
1.051764e+03,1.078551e-02,1.078551e-02,1.078551e-02,1.078551e-02
1.063041e+03,1.064011e-02,1.064011e-02,1.064011e-02,1.064011e-02
1.076380e+03,1.050394e-02,1.050394e-02,1.050394e-02,1.050394e-02
1.089803e+03,1.037118e-02,1.037118e-02,1.037118e-02,1.037118e-02
1.101154e+03,1.023971e-02,1.023971e-02,1.023971e-02,1.023971e-02
1.112292e+03,1.011527e-02,1.011527e-02,1.011527e-02,1.011527e-02
1.125572e+03,9.983306e-03,9.983306e-03,9.983306e-03,9.983306e-03
1.136740e+03,9.859755e-03,9.859755e-03,9.859755e-03,9.859755e-03
1.147745e+03,9.739191e-03,9.739191e-03,9.739191e-03,9.739191e-03
1.159895e+03,9.624124e-03,9.624124e-03,9.624124e-03,9.624124e-03
1.171808e+03,9.508863e-03,9.508863e-03,9.508863e-03,9.508863e-03
1.183501e+03,9.403967e-03,9.403967e-03,9.403967e-03,9.403967e-03
1.196877e+03,9.297143e-03,9.297143e-03,9.297143e-03,9.297143e-03
1.209415e+03,9.194707e-03,9.194707e-03,9.194707e-03,9.194707e-03
1.221385e+03,9.091889e-03,9.091889e-03,9.091889e-03,9.091889e-03
1.232473e+03,8.988493e-03,8.988493e-03,8.988493e-03,8.988493e-03
1.244727e+03,8.888869e-03,8.888869e-03,8.888869e-03,8.888869e-03
1.257077e+03,8.791021e-03,8.791021e-03,8.791021e-03,8.791021e-03
1.268247e+03,8.696219e-03,8.696219e-03,8.696219e-03,8.696219e-03
1.279170e+03,8.599649e-03,8.599649e-03,8.599649e-03,8.599649e-03
1.291380e+03,8.508331e-03,8.508331e-03,8.508331e-03,8.508331e-03
1.303298e+03,8.420776e-03,8.420776e-03,8.420776e-03,8.420776e-03
1.314099e+03,8.332841e-03,8.332841e-03,8.332841e-03,8.332841e-03
1.326417e+03,8.249153e-03,8.249153e-03,8.249153e-03,8.249153e-03
1.338273e+03,8.165412e-03,8.165412e-03,8.165412e-03,8.165412e-03
1.349158e+03,8.081565e-03,8.081565e-03,8.081565e-03,8.081565e-03
1.360034e+03,8.001533e-03,8.001533e-03,8.001533e-03,8.001533e-03
1.371650e+03,7.923776e-03,7.923776e-03,7.923776e-03,7.923776e-03
1.383195e+03,7.846493e-03,7.846493e-03,7.846493e-03,7.846493e-03
1.394205e+03,7.772170e-03,7.772170e-03,7.772170e-03,7.772170e-03
1.406343e+03,7.696610e-03,7.696610e-03,7.696610e-03,7.696610e-03
1.417156e+03,7.622713e-03,7.622712e-03,7.622712e-03,7.622712e-03
1.427877e+03,7.553805e-03,7.553805e-03,7.553805e-03,7.553805e-03
1.438700e+03,7.488952e-03,7.488952e-03,7.488952e-03,7.488952e-03
1.450043e+03,7.421741e-03,7.421740e-03,7.421740e-03,7.421740e-03
1.460940e+03,7.354280e-03,7.354280e-03,7.354280e-03,7.354280e-03
1.472584e+03,7.285446e-03,7.285446e-03,7.285446e-03,7.285446e-03
1.483447e+03,7.221802e-03,7.221802e-03,7.221802e-03,7.221802e-03
1.495570e+03,7.159547e-03,7.159547e-03,7.159547e-03,7.159547e-03
1.506392e+03,7.096739e-03,7.096739e-03,7.096739e-03,7.096739e-03
1.518574e+03,7.036382e-03,7.036381e-03,7.036381e-03,7.036381e-03
1.529284e+03,6.974895e-03,6.974895e-03,6.974895e-03,6.974895e-03
1.540833e+03,6.918302e-03,6.918303e-03,6.918303e-03,6.918303e-03
1.551704e+03,6.859187e-03,6.859187e-03,6.859187e-03,6.859187e-03
1.562465e+03,6.801790e-03,6.801791e-03,6.801791e-03,6.801791e-03
1.573216e+03,6.742578e-03,6.742578e-03,6.742578e-03,6.742578e-03
1.583946e+03,6.681988e-03,6.681989e-03,6.681989e-03,6.681989e-03
1.594649e+03,6.630612e-03,6.630612e-03,6.630612e-03,6.630612e-03
1.605462e+03,6.572440e-03,6.572440e-03,6.572440e-03,6.572440e-03
1.617120e+03,6.519378e-03,6.519378e-03,6.519378e-03,6.519378e-03
1.628712e+03,6.467064e-03,6.467064e-03,6.467064e-03,6.467064e-03
1.641375e+03,6.417716e-03,6.417716e-03,6.417716e-03,6.417716e-03
1.652766e+03,6.369637e-03,6.369637e-03,6.369637e-03,6.369637e-03
1.663527e+03,6.324095e-03,6.324095e-03,6.324095e-03,6.324095e-03
1.674434e+03,6.274594e-03,6.274594e-03,6.274594e-03,6.274594e-03
1.685269e+03,6.227367e-03,6.227367e-03,6.227367e-03,6.227367e-03
1.695982e+03,6.180802e-03,6.180801e-03,6.180801e-03,6.180801e-03
1.706865e+03,6.133562e-03,6.133563e-03,6.133563e-03,6.133563e-03
1.717590e+03,6.086579e-03,6.086579e-03,6.086579e-03,6.086579e-03
1.728384e+03,6.041341e-03,6.041341e-03,6.041341e-03,6.041341e-03
1.740642e+03,5.996085e-03,5.996085e-03,5.996085e-03,5.996085e-03
1.751862e+03,5.950810e-03,5.950810e-03,5.950810e-03,5.950810e-03
1.762665e+03,5.906155e-03,5.906154e-03,5.906154e-03,5.906154e-03
