timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
1.316967e+02,7.835390e-01,7.835389e-01,7.835389e-01,7.835389e-01
1.958920e+02,7.848513e-01,7.848513e-01,7.848513e-01,7.848513e-01
2.523941e+02,8.016108e-01,8.016108e-01,8.016108e-01,8.016108e-01
2.744840e+02,7.774790e-01,7.774790e-01,7.774790e-01,7.774790e-01
2.882177e+02,7.911137e-01,7.911137e-01,7.911137e-01,7.911137e-01
3.010243e+02,7.973339e-01,7.973339e-01,7.973339e-01,7.973339e-01
3.137998e+02,7.985180e-01,7.985180e-01,7.985180e-01,7.985180e-01
3.264865e+02,8.181319e-01,8.181319e-01,8.181319e-01,8.181319e-01
3.406065e+02,8.093403e-01,8.093404e-01,8.093404e-01,8.093404e-01
3.542356e+02,7.941015e-01,7.941015e-01,7.941015e-01,7.941015e-01
3.692892e+02,7.889774e-01,7.889775e-01,7.889775e-01,7.889775e-01
3.823997e+02,8.030927e-01,8.030927e-01,8.030927e-01,8.030927e-01
3.970074e+02,8.108580e-01,8.108580e-01,8.108580e-01,8.108580e-01
4.100365e+02,8.234187e-01,8.234187e-01,8.234187e-01,8.234187e-01
4.231376e+02,8.139882e-01,8.139882e-01,8.139882e-01,8.139882e-01
4.373100e+02,7.987576e-01,7.987576e-01,7.987576e-01,7.987576e-01
4.493228e+02,8.078442e-01,8.078442e-01,8.078442e-01,8.078442e-01
4.607993e+02,7.810486e-01,7.810486e-01,7.810486e-01,7.810486e-01
4.734788e+02,7.932256e-01,7.932256e-01,7.932256e-01,7.932256e-01
4.839859e+02,7.889150e-01,7.889150e-01,7.889150e-01,7.889150e-01
4.947391e+02,7.945945e-01,7.945945e-01,7.945945e-01,7.945945e-01
5.057670e+02,8.005879e-01,8.005879e-01,8.005879e-01,8.005879e-01
5.162902e+02,7.955357e-01,7.955357e-01,7.955357e-01,7.955357e-01
5.273132e+02,7.878528e-01,7.878528e-01,7.878528e-01,7.878528e-01
5.393825e+02,7.970888e-01,7.970887e-01,7.970887e-01,7.970887e-01
