timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
5.457576e+02,3.297178e+00,3.297178e+00,3.297178e+00,3.297178e+00
7.354585e+02,2.983204e+00,2.983204e+00,2.983204e+00,2.983204e+00
9.298344e+02,2.772984e+00,2.772984e+00,2.772984e+00,2.772984e+00
1.119242e+03,2.589193e+00,2.589193e+00,2.589193e+00,2.589193e+00
1.303120e+03,2.413201e+00,2.413201e+00,2.413201e+00,2.413201e+00
1.481980e+03,2.269603e+00,2.269603e+00,2.269603e+00,2.269603e+00
1.658734e+03,2.141517e+00,2.141517e+00,2.141517e+00,2.141517e+00
1.846753e+03,2.028674e+00,2.028674e+00,2.028674e+00,2.028674e+00
2.024775e+03,1.912490e+00,1.912491e+00,1.912491e+00,1.912491e+00
2.203831e+03,1.820113e+00,1.820113e+00,1.820113e+00,1.820113e+00
2.382689e+03,1.721081e+00,1.721081e+00,1.721081e+00,1.721081e+00
2.544002e+03,1.630180e+00,1.630180e+00,1.630180e+00,1.630180e+00
2.719113e+03,1.549438e+00,1.549438e+00,1.549438e+00,1.549438e+00
2.898605e+03,1.467888e+00,1.467888e+00,1.467888e+00,1.467888e+00
3.073660e+03,1.393633e+00,1.393633e+00,1.393633e+00,1.393633e+00
3.247279e+03,1.324178e+00,1.324178e+00,1.324178e+00,1.324178e+00
3.416594e+03,1.264162e+00,1.264162e+00,1.264162e+00,1.264162e+00
3.572770e+03,1.204450e+00,1.204450e+00,1.204450e+00,1.204450e+00
3.740241e+03,1.152354e+00,1.152354e+00,1.152354e+00,1.152354e+00
3.910962e+03,1.099937e+00,1.099937e+00,1.099937e+00,1.099937e+00
4.067743e+03,1.050899e+00,1.050899e+00,1.050899e+00,1.050899e+00
4.238511e+03,1.005238e+00,1.005238e+00,1.005238e+00,1.005238e+00
4.399858e+03,9.626128e-01,9.626128e-01,9.626128e-01,9.626128e-01
4.555834e+03,9.241473e-01,9.241473e-01,9.241473e-01,9.241473e-01
4.723226e+03,8.855560e-01,8.855561e-01,8.855561e-01,8.855561e-01
4.888635e+03,8.490236e-01,8.490236e-01,8.490236e-01,8.490236e-01
5.044270e+03,8.156946e-01,8.156946e-01,8.156946e-01,8.156946e-01
5.207034e+03,7.826779e-01,7.826780e-01,7.826780e-01,7.826780e-01
5.367748e+03,7.516518e-01,7.516518e-01,7.516518e-01,7.516518e-01
5.520208e+03,7.224591e-01,7.224591e-01,7.224591e-01,7.224591e-01
5.683355e+03,6.948886e-01,6.948886e-01,6.948886e-01,6.948886e-01
5.851634e+03,6.686231e-01,6.686231e-01,6.686231e-01,6.686231e-01
6.006447e+03,6.441114e-01,6.441114e-01,6.441114e-01,6.441114e-01
6.169619e+03,6.204903e-01,6.204903e-01,6.204903e-01,6.204903e-01
6.336828e+03,5.980621e-01,5.980621e-01,5.980621e-01,5.980621e-01
6.487279e+03,5.767974e-01,5.767974e-01,5.767974e-01,5.767974e-01
6.655415e+03,5.566640e-01,5.566640e-01,5.566640e-01,5.566640e-01
6.822489e+03,5.374778e-01,5.374778e-01,5.374778e-01,5.374778e-01
6.977299e+03,5.192351e-01,5.192351e-01,5.192351e-01,5.192351e-01
7.134020e+03,5.016314e-01,5.016314e-01,5.016314e-01,5.016314e-01
7.301410e+03,4.849935e-01,4.849935e-01,4.849935e-01,4.849935e-01
7.454230e+03,4.691199e-01,4.691199e-01,4.691199e-01,4.691199e-01
7.608681e+03,4.540247e-01,4.540247e-01,4.540247e-01,4.540247e-01
7.773622e+03,4.395876e-01,4.395876e-01,4.395876e-01,4.395876e-01
7.937101e+03,4.257952e-01,4.257952e-01,4.257952e-01,4.257952e-01
8.091433e+03,4.126285e-01,4.126285e-01,4.126285e-01,4.126285e-01
8.256949e+03,4.000731e-01,4.000731e-01,4.000731e-01,4.000731e-01
8.415452e+03,3.879417e-01,3.879417e-01,3.879417e-01,3.879417e-01
8.569819e+03,3.764352e-01,3.764352e-01,3.764352e-01,3.764352e-01
8.735100e+03,3.653609e-01,3.653609e-01,3.653609e-01,3.653609e-01
8.907562e+03,3.548035e-01,3.548035e-01,3.548035e-01,3.548035e-01
9.059158e+03,3.446113e-01,3.446113e-01,3.446113e-01,3.446113e-01
9.223590e+03,3.348360e-01,3.348360e-01,3.348360e-01,3.348360e-01
9.388186e+03,3.254841e-01,3.254841e-01,3.254841e-01,3.254841e-01
9.541998e+03,3.165368e-01,3.165368e-01,3.165368e-01,3.165368e-01
9.706686e+03,3.078715e-01,3.078715e-01,3.078715e-01,3.078715e-01
9.876144e+03,2.996104e-01,2.996104e-01,2.996104e-01,2.996104e-01
1.003326e+04,2.916947e-01,2.916947e-01,2.916947e-01,2.916947e-01
1.019639e+04,2.841093e-01,2.841093e-01,2.841093e-01,2.841093e-01
1.036053e+04,2.766819e-01,2.766819e-01,2.766819e-01,2.766819e-01
1.051374e+04,2.696526e-01,2.696526e-01,2.696526e-01,2.696526e-01
1.067612e+04,2.629057e-01,2.629057e-01,2.629057e-01,2.629057e-01
1.084350e+04,2.562825e-01,2.562825e-01,2.562825e-01,2.562825e-01
1.099713e+04,2.499557e-01,2.499557e-01,2.499557e-01,2.499557e-01
1.116180e+04,2.438902e-01,2.438903e-01,2.438903e-01,2.438903e-01
1.132761e+04,2.380286e-01,2.380286e-01,2.380286e-01,2.380286e-01
1.147884e+04,2.323819e-01,2.323819e-01,2.323819e-01,2.323819e-01
