timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.482508e+02,3.535040e+00,3.535040e+00,3.535040e+00,3.535040e+00
5.367470e+02,3.049171e+00,3.049171e+00,3.049171e+00,3.049171e+00
7.272352e+02,2.678392e+00,2.678392e+00,2.678392e+00,2.678392e+00
9.190247e+02,2.284821e+00,2.284821e+00,2.284821e+00,2.284821e+00
1.128357e+03,2.116434e+00,2.116434e+00,2.116434e+00,2.116434e+00
1.338054e+03,1.837417e+00,1.837417e+00,1.837417e+00,1.837417e+00
1.553537e+03,1.703586e+00,1.703586e+00,1.703586e+00,1.703586e+00
1.768794e+03,1.478226e+00,1.478226e+00,1.478226e+00,1.478226e+00
1.972148e+03,1.349959e+00,1.349959e+00,1.349959e+00,1.349959e+00
2.153202e+03,1.231145e+00,1.231145e+00,1.231145e+00,1.231145e+00
2.319776e+03,1.174379e+00,1.174379e+00,1.174379e+00,1.174379e+00
2.488363e+03,1.018445e+00,1.018445e+00,1.018445e+00,1.018445e+00
2.657918e+03,9.302051e-01,9.302051e-01,9.302051e-01,9.302051e-01
2.818074e+03,8.574063e-01,8.574063e-01,8.574063e-01,8.574063e-01
2.977642e+03,7.874232e-01,7.874232e-01,7.874232e-01,7.874232e-01
3.137394e+03,7.124501e-01,7.124501e-01,7.124501e-01,7.124501e-01
3.296339e+03,6.939170e-01,6.939170e-01,6.939170e-01,6.939170e-01
3.455426e+03,6.214384e-01,6.214384e-01,6.214384e-01,6.214384e-01
3.609154e+03,5.129317e-01,5.129317e-01,5.129317e-01,5.129317e-01
3.767483e+03,4.761051e-01,4.761050e-01,4.761050e-01,4.761050e-01
3.921668e+03,4.330533e-01,4.330533e-01,4.330533e-01,4.330533e-01
4.075828e+03,3.928560e-01,3.928560e-01,3.928560e-01,3.928560e-01
4.231164e+03,4.392028e-01,4.392028e-01,4.392028e-01,4.392028e-01
4.383795e+03,3.474000e-01,3.474000e-01,3.474000e-01,3.474000e-01
4.537935e+03,3.255611e-01,3.255611e-01,3.255611e-01,3.255611e-01
4.690863e+03,3.784634e-01,3.784634e-01,3.784634e-01,3.784634e-01
4.845865e+03,2.865314e-01,2.865314e-01,2.865314e-01,2.865314e-01
4.998625e+03,2.671114e-01,2.671114e-01,2.671114e-01,2.671114e-01
5.149592e+03,2.546186e-01,2.546186e-01,2.546186e-01,2.546186e-01
5.301971e+03,2.441873e-01,2.441873e-01,2.441873e-01,2.441873e-01
5.454385e+03,3.080267e-01,3.080267e-01,3.080267e-01,3.080267e-01
5.606379e+03,2.986777e-01,2.986777e-01,2.986777e-01,2.986777e-01
5.759100e+03,2.216011e-01,2.216011e-01,2.216011e-01,2.216011e-01
5.912718e+03,2.128390e-01,2.128390e-01,2.128390e-01,2.128390e-01
6.065068e+03,2.764650e-01,2.764650e-01,2.764650e-01,2.764650e-01
6.218843e+03,2.686262e-01,2.686262e-01,2.686262e-01,2.686262e-01
6.369193e+03,2.594275e-01,2.594275e-01,2.594275e-01,2.594275e-01
6.524960e+03,2.501371e-01,2.501371e-01,2.501371e-01,2.501371e-01
6.679014e+03,1.781002e-01,1.781002e-01,1.781002e-01,1.781002e-01
6.835708e+03,1.747878e-01,1.747878e-01,1.747878e-01,1.747878e-01
6.989141e+03,2.394967e-01,2.394967e-01,2.394967e-01,2.394967e-01
7.143774e+03,1.641149e-01,1.641149e-01,1.641149e-01,1.641149e-01
7.298253e+03,1.609960e-01,1.609960e-01,1.609960e-01,1.609960e-01
7.450577e+03,1.582933e-01,1.582933e-01,1.582933e-01,1.582933e-01
7.606894e+03,1.585968e-01,1.585968e-01,1.585968e-01,1.585968e-01
7.762988e+03,1.539229e-01,1.539229e-01,1.539229e-01,1.539229e-01
7.916700e+03,1.526360e-01,1.526360e-01,1.526360e-01,1.526360e-01
8.068252e+03,1.466210e-01,1.466210e-01,1.466210e-01,1.466210e-01
8.223354e+03,2.145869e-01,2.145869e-01,2.145869e-01,2.145869e-01
8.376202e+03,2.153769e-01,2.153769e-01,2.153769e-01,2.153769e-01
8.528664e+03,2.121509e-01,2.121509e-01,2.121509e-01,2.121509e-01
8.683695e+03,2.077695e-01,2.077695e-01,2.077695e-01,2.077695e-01
8.836843e+03,1.360572e-01,1.360572e-01,1.360572e-01,1.360572e-01
8.989690e+03,1.367570e-01,1.367570e-01,1.367570e-01,1.367570e-01
9.142015e+03,1.392983e-01,1.392983e-01,1.392983e-01,1.392983e-01
9.299579e+03,2.072554e-01,2.072554e-01,2.072554e-01,2.072554e-01
9.452455e+03,2.079042e-01,2.079042e-01,2.079042e-01,2.079042e-01
9.604064e+03,2.119863e-01,2.119863e-01,2.119863e-01,2.119863e-01
9.759398e+03,1.385431e-01,1.385431e-01,1.385431e-01,1.385431e-01
9.910770e+03,2.116028e-01,2.116028e-01,2.116028e-01,2.116028e-01
