timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
6.695737e+02,1.743483e+00,1.743483e+00,1.743483e+00,1.743483e+00
9.556802e+02,1.590593e+00,1.590593e+00,1.590593e+00,1.590593e+00
1.253301e+03,1.489995e+00,1.489995e+00,1.489995e+00,1.489995e+00
1.525556e+03,1.420508e+00,1.420508e+00,1.420508e+00,1.420508e+00
1.793994e+03,1.373344e+00,1.373344e+00,1.373344e+00,1.373344e+00
2.046496e+03,1.329988e+00,1.329988e+00,1.329988e+00,1.329988e+00
2.300305e+03,1.291908e+00,1.291908e+00,1.291908e+00,1.291908e+00
2.543684e+03,1.257391e+00,1.257391e+00,1.257391e+00,1.257391e+00
2.781706e+03,1.225703e+00,1.225703e+00,1.225703e+00,1.225703e+00
3.020313e+03,1.199114e+00,1.199114e+00,1.199114e+00,1.199114e+00
3.247664e+03,1.807382e+00,1.807382e+00,1.807382e+00,1.807382e+00
3.477130e+03,7.127077e+01,7.127077e+01,7.127077e+01,7.127077e+01
3.701996e+03,7.677271e+03,7.677271e+03,7.677271e+03,7.677271e+03
3.926846e+03,8.439494e+05,8.439494e+05,8.439494e+05,8.439494e+05
4.156944e+03,9.317162e+07,9.317163e+07,9.317163e+07,9.317163e+07
4.379790e+03,1.032512e+10,1.032512e+10,1.032512e+10,1.032512e+10
4.597782e+03,1.148196e+12,1.148196e+12,1.148196e+12,1.148196e+12
4.819914e+03,1.280936e+14,1.280936e+14,1.280936e+14,1.280936e+14
5.039299e+03,1.433259e+16,1.433259e+16,1.433259e+16,1.433259e+16
5.256292e+03,1.608105e+18,1.608105e+18,1.608105e+18,1.608105e+18
5.476686e+03,1.808892e+20,1.808892e+20,1.808892e+20,1.808892e+20
5.691838e+03,2.049619e+22,2.049619e+22,2.049619e+22,2.049619e+22
5.901003e+03,2.305010e+24,2.305010e+24,2.305010e+24,2.305010e+24
6.121739e+03,2.610019e+26,2.610019e+26,2.610019e+26,2.610019e+26
6.332596e+03,2.961376e+28,2.961376e+28,2.961376e+28,2.961376e+28
6.542892e+03,3.366214e+30,3.366214e+30,3.366214e+30,3.366214e+30
6.759047e+03,inf,inf,inf,inf
6.969263e+03,inf,inf,inf,inf
7.185027e+03,inf,inf,inf,inf
7.392710e+03,inf,inf,inf,inf
7.603255e+03,inf,inf,inf,inf
7.813170e+03,inf,inf,inf,inf
8.019548e+03,inf,inf,inf,inf
8.233456e+03,inf,inf,inf,inf
8.438280e+03,inf,inf,inf,inf
8.640984e+03,inf,inf,inf,inf
8.853106e+03,inf,inf,inf,inf
9.059653e+03,inf,inf,inf,inf
9.269325e+03,inf,inf,inf,inf
9.480175e+03,inf,inf,inf,inf
9.688879e+03,inf,inf,inf,inf
9.896845e+03,inf,inf,inf,inf
1.010375e+04,inf,inf,inf,inf
1.032248e+04,inf,inf,inf,inf
1.053823e+04,inf,inf,inf,inf
1.074635e+04,inf,inf,inf,inf
1.095420e+04,inf,inf,inf,inf
1.116375e+04,inf,inf,inf,inf
1.137001e+04,inf,inf,inf,inf
1.158256e+04,inf,inf,inf,inf
1.179142e+04,inf,inf,inf,inf
1.200507e+04,inf,inf,inf,inf
1.222182e+04,inf,inf,inf,inf
1.243325e+04,inf,inf,inf,inf
1.264578e+04,inf,inf,inf,inf
1.285722e+04,inf,inf,inf,inf
1.306281e+04,inf,inf,inf,inf
1.327573e+04,inf,inf,inf,inf
1.347994e+04,inf,inf,inf,inf
1.368761e+04,inf,inf,inf,inf
1.389817e+04,inf,inf,inf,inf
1.411044e+04,inf,inf,inf,inf
1.432673e+04,inf,inf,inf,inf
1.453143e+04,inf,inf,inf,inf
1.474235e+04,inf,inf,inf,inf
1.495163e+04,inf,inf,inf,inf
1.516444e+04,inf,inf,inf,inf
1.537968e+04,inf,inf,inf,inf
1.558774e+04,inf,inf,inf,inf
1.579503e+04,inf,inf,inf,inf
1.601016e+04,inf,inf,inf,inf
