timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
4.593525e+02,3.759802e+00,3.759802e+00,3.759802e+00,3.759802e+00
7.130896e+02,3.331327e+00,3.331327e+00,3.331327e+00,3.331327e+00
1.012023e+03,2.919458e+00,2.919458e+00,2.919458e+00,2.919458e+00
1.274885e+03,2.625134e+00,2.625134e+00,2.625134e+00,2.625134e+00
1.538577e+03,2.417212e+00,2.417212e+00,2.417212e+00,2.417212e+00
1.834409e+03,2.366042e+00,2.366042e+00,2.366042e+00,2.366042e+00
2.095454e+03,1.991894e+00,1.991894e+00,1.991894e+00,1.991894e+00
2.346425e+03,2.146742e+00,2.146742e+00,2.146742e+00,2.146742e+00
2.610690e+03,1.732827e+00,1.732827e+00,1.732827e+00,1.732827e+00
2.848732e+03,1.523501e+00,1.523501e+00,1.523501e+00,1.523501e+00
3.099286e+03,1.499248e+00,1.499248e+00,1.499248e+00,1.499248e+00
3.330325e+03,1.666234e+00,1.666234e+00,1.666234e+00,1.666234e+00
3.567971e+03,1.293163e+00,1.293163e+00,1.293163e+00,1.293163e+00
3.793425e+03,1.546244e+00,1.546244e+00,1.546244e+00,1.546244e+00
4.023139e+03,1.458396e+00,1.458396e+00,1.458396e+00,1.458396e+00
4.247693e+03,1.011485e+00,1.011485e+00,1.011485e+00,1.011485e+00
4.471486e+03,1.140340e+00,1.140340e+00,1.140340e+00,1.140340e+00
4.695213e+03,1.195345e+00,1.195345e+00,1.195345e+00,1.195345e+00
4.912634e+03,5.674695e+00,5.674695e+00,5.674695e+00,5.674695e+00
5.129969e+03,1.941049e+02,1.941049e+02,1.941049e+02,1.941049e+02
5.347211e+03,1.085099e+04,1.085099e+04,1.085099e+04,1.085099e+04
5.565561e+03,4.266496e+05,4.266496e+05,4.266496e+05,4.266496e+05
5.783681e+03,2.496268e+07,2.496268e+07,2.496268e+07,2.496268e+07
5.998019e+03,1.510124e+09,1.510124e+09,1.510124e+09,1.510124e+09
6.212981e+03,9.354300e+10,9.354300e+10,9.354300e+10,9.354300e+10
6.431431e+03,5.550189e+12,5.550189e+12,5.550189e+12,5.550189e+12
6.655171e+03,3.364365e+14,3.364365e+14,3.364365e+14,3.364365e+14
6.864592e+03,2.039772e+16,2.039772e+16,2.039772e+16,2.039772e+16
7.074457e+03,1.236693e+18,1.236693e+18,1.236693e+18,1.236693e+18
7.284682e+03,4.957580e+19,4.957580e+19,4.957580e+19,4.957580e+19
7.495908e+03,2.022328e+21,2.022328e+21,2.022328e+21,2.022328e+21
7.702766e+03,5.069195e+22,5.069195e+22,5.069195e+22,5.069195e+22
7.910139e+03,3.073403e+24,3.073403e+24,3.073403e+24,3.073403e+24
8.119404e+03,1.863374e+26,1.863374e+26,1.863374e+26,1.863374e+26
8.328971e+03,1.129745e+28,1.129745e+28,1.129745e+28,1.129745e+28
8.540057e+03,6.849534e+29,6.849534e+29,6.849534e+29,6.849534e+29
8.749924e+03,4.152806e+31,4.152806e+31,4.152806e+31,4.152806e+31
8.958853e+03,inf,inf,inf,inf
9.172764e+03,inf,inf,inf,inf
9.378536e+03,inf,inf,inf,inf
9.596569e+03,inf,inf,inf,inf
9.808469e+03,inf,inf,inf,inf
