timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
1.181248e+02,2.729938e+00,2.729938e+00,2.729938e+00,2.729938e+00
2.262303e+02,1.984524e+00,1.984524e+00,1.984524e+00,1.984524e+00
3.319408e+02,1.646902e+00,1.646902e+00,1.646902e+00,1.646902e+00
3.478107e+02,1.380131e+00,1.380131e+00,1.380131e+00,1.380131e+00
3.653731e+02,1.225749e+00,1.225749e+00,1.225749e+00,1.225749e+00
3.806454e+02,1.081029e+00,1.081029e+00,1.081029e+00,1.081029e+00
3.969484e+02,9.171528e-01,9.171528e-01,9.171528e-01,9.171528e-01
4.143470e+02,7.829869e-01,7.829870e-01,7.829870e-01,7.829870e-01
4.316658e+02,6.757079e-01,6.757079e-01,6.757079e-01,6.757079e-01
4.514435e+02,6.124277e-01,6.124277e-01,6.124277e-01,6.124277e-01
4.696368e+02,5.447040e-01,5.447040e-01,5.447040e-01,5.447040e-01
4.877388e+02,4.942147e-01,4.942147e-01,4.942147e-01,4.942147e-01
5.035409e+02,4.647907e-01,4.647908e-01,4.647908e-01,4.647908e-01
5.176050e+02,4.302596e-01,4.302596e-01,4.302596e-01,4.302596e-01
5.318775e+02,4.134737e-01,4.134737e-01,4.134737e-01,4.134737e-01
5.458732e+02,3.908883e-01,3.908883e-01,3.908883e-01,3.908883e-01
5.609326e+02,3.649230e-01,3.649230e-01,3.649230e-01,3.649230e-01
5.762442e+02,3.491651e-01,3.491651e-01,3.491651e-01,3.491651e-01
5.905233e+02,3.273438e-01,3.273438e-01,3.273438e-01,3.273438e-01
6.037272e+02,3.109515e-01,3.109515e-01,3.109515e-01,3.109515e-01
6.185344e+02,2.973427e-01,2.973427e-01,2.973427e-01,2.973427e-01
6.329497e+02,2.885031e-01,2.885031e-01,2.885031e-01,2.885031e-01
6.474669e+02,2.780298e-01,2.780298e-01,2.780298e-01,2.780298e-01
6.633721e+02,2.659010e-01,2.659010e-01,2.659010e-01,2.659010e-01
6.774293e+02,2.583647e-01,2.583647e-01,2.583647e-01,2.583647e-01
6.926659e+02,2.478190e-01,2.478190e-01,2.478190e-01,2.478190e-01
7.064128e+02,2.372903e-01,2.372903e-01,2.372903e-01,2.372903e-01
7.207287e+02,2.251851e-01,2.251851e-01,2.251851e-01,2.251851e-01
7.339227e+02,2.201175e-01,2.201175e-01,2.201175e-01,2.201175e-01
7.483568e+02,2.116916e-01,2.116916e-01,2.116916e-01,2.116916e-01
7.627015e+02,2.046711e-01,2.046711e-01,2.046711e-01,2.046711e-01
7.775292e+02,1.991721e-01,1.991721e-01,1.991721e-01,1.991721e-01
7.929981e+02,1.929100e-01,1.929100e-01,1.929100e-01,1.929100e-01
8.072236e+02,1.864638e-01,1.864638e-01,1.864638e-01,1.864638e-01
8.221850e+02,1.793761e-01,1.793761e-01,1.793761e-01,1.793761e-01
8.357386e+02,1.747301e-01,1.747301e-01,1.747301e-01,1.747301e-01
8.495276e+02,1.690899e-01,1.690899e-01,1.690899e-01,1.690899e-01
8.648236e+02,1.658083e-01,1.658083e-01,1.658083e-01,1.658083e-01
8.816418e+02,1.600248e-01,1.600248e-01,1.600248e-01,1.600248e-01
8.968811e+02,1.567270e-01,1.567270e-01,1.567270e-01,1.567270e-01
9.132017e+02,1.537727e-01,1.537727e-01,1.537727e-01,1.537727e-01
9.297208e+02,1.486186e-01,1.486186e-01,1.486186e-01,1.486186e-01
9.461850e+02,1.470723e-01,1.470723e-01,1.470723e-01,1.470723e-01
9.619066e+02,1.428441e-01,1.428441e-01,1.428441e-01,1.428441e-01
9.785069e+02,1.410570e-01,1.410570e-01,1.410570e-01,1.410570e-01
9.943281e+02,1.371660e-01,1.371660e-01,1.371660e-01,1.371660e-01
1.010518e+03,1.339075e-01,1.339075e-01,1.339075e-01,1.339075e-01
1.026044e+03,1.304143e-01,1.304143e-01,1.304143e-01,1.304143e-01
1.040683e+03,1.271953e-01,1.271953e-01,1.271953e-01,1.271953e-01
