timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
4.919720e+01,5.720961e+00,5.720961e+00,5.720961e+00,5.720961e+00
9.576210e+01,6.375845e+00,6.375845e+00,6.375845e+00,6.375845e+00
1.449958e+02,5.476083e+00,5.476083e+00,5.476083e+00,5.476083e+00
1.839868e+02,5.380578e+00,5.380578e+00,5.380578e+00,5.380578e+00
1.998548e+02,7.743314e+00,7.743314e+00,7.743314e+00,7.743314e+00
2.159967e+02,6.744522e+00,6.744522e+00,6.744522e+00,6.744522e+00
2.341403e+02,6.671854e+00,6.671855e+00,6.671855e+00,6.671855e+00
2.518737e+02,7.086673e+00,7.086673e+00,7.086673e+00,7.086673e+00
2.696028e+02,8.605027e+00,8.605027e+00,8.605027e+00,8.605027e+00
2.861172e+02,5.825526e+00,5.825526e+00,5.825526e+00,5.825526e+00
3.016636e+02,6.522438e+00,6.522438e+00,6.522438e+00,6.522438e+00
3.170865e+02,7.137209e+00,7.137209e+00,7.137209e+00,7.137209e+00
3.328755e+02,7.302896e+00,7.302896e+00,7.302896e+00,7.302896e+00
3.484554e+02,6.529866e+00,6.529866e+00,6.529866e+00,6.529866e+00
3.640925e+02,6.361380e+00,6.361380e+00,6.361380e+00,6.361380e+00
3.775974e+02,4.487700e+00,4.487700e+00,4.487700e+00,4.487700e+00
3.901242e+02,5.898468e+00,5.898468e+00,5.898468e+00,5.898468e+00
4.025724e+02,6.648283e+00,6.648283e+00,6.648283e+00,6.648283e+00
4.150728e+02,6.948652e+00,6.948652e+00,6.948652e+00,6.948652e+00
4.274768e+02,6.128180e+00,6.128181e+00,6.128181e+00,6.128181e+00
4.405053e+02,6.135782e+00,6.135782e+00,6.135782e+00,6.135782e+00
4.536124e+02,6.763187e+00,6.763187e+00,6.763187e+00,6.763187e+00
4.663517e+02,5.094551e+00,5.094551e+00,5.094551e+00,5.094551e+00
4.787979e+02,5.254613e+00,5.254613e+00,5.254613e+00,5.254613e+00
4.911673e+02,7.262286e+00,7.262286e+00,7.262286e+00,7.262286e+00
5.073021e+02,5.032517e+00,5.032517e+00,5.032517e+00,5.032517e+00
5.200216e+02,8.071610e+00,8.071610e+00,8.071610e+00,8.071610e+00
5.378224e+02,5.582719e+00,5.582719e+00,5.582719e+00,5.582719e+00
5.513582e+02,6.828352e+00,6.828352e+00,6.828352e+00,6.828352e+00
5.640012e+02,6.619219e+00,6.619220e+00,6.619220e+00,6.619220e+00
5.777821e+02,6.352318e+00,6.352318e+00,6.352318e+00,6.352318e+00
5.904046e+02,6.104749e+00,6.104749e+00,6.104749e+00,6.104749e+00
6.030357e+02,4.864064e+00,4.864064e+00,4.864064e+00,4.864064e+00
6.158383e+02,5.053551e+00,5.053551e+00,5.053551e+00,5.053551e+00
6.299822e+02,4.249123e+00,4.249123e+00,4.249123e+00,4.249123e+00
6.436876e+02,6.782867e+00,6.782867e+00,6.782867e+00,6.782867e+00
6.573341e+02,7.180168e+00,7.180168e+00,7.180168e+00,7.180168e+00
6.699777e+02,7.746069e+00,7.746069e+00,7.746069e+00,7.746069e+00
6.829660e+02,6.385728e+00,6.385728e+00,6.385728e+00,6.385728e+00
6.956647e+02,6.806427e+00,6.806427e+00,6.806427e+00,6.806427e+00
7.106374e+02,5.413390e+00,5.413390e+00,5.413390e+00,5.413390e+00
7.242996e+02,7.162594e+00,7.162594e+00,7.162594e+00,7.162594e+00
7.368841e+02,6.867018e+00,6.867019e+00,6.867019e+00,6.867019e+00
7.497538e+02,4.993166e+00,4.993166e+00,4.993166e+00,4.993166e+00
7.626912e+02,4.258711e+00,4.258711e+00,4.258711e+00,4.258711e+00
7.776811e+02,7.627537e+00,7.627537e+00,7.627537e+00,7.627537e+00
7.908526e+02,7.317298e+00,7.317298e+00,7.317298e+00,7.317298e+00
8.038382e+02,6.301874e+00,6.301874e+00,6.301874e+00,6.301874e+00
8.162830e+02,6.783024e+00,6.783024e+00,6.783024e+00,6.783024e+00
8.299687e+02,4.578979e+00,4.578979e+00,4.578979e+00,4.578979e+00
8.423601e+02,9.863239e+00,9.863239e+00,9.863239e+00,9.863239e+00
