timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
4.559821e+02,1.499301e+01,1.499301e+01,1.499301e+01,1.499301e+01
7.590560e+02,9.743128e+00,9.743128e+00,9.743128e+00,9.743128e+00
1.063265e+03,7.070431e+00,7.070431e+00,7.070431e+00,7.070431e+00
1.336213e+03,5.451378e+00,5.451378e+00,5.451378e+00,5.451378e+00
1.615262e+03,4.384850e+00,4.384850e+00,4.384850e+00,4.384850e+00
1.889977e+03,3.631416e+00,3.631416e+00,3.631416e+00,3.631416e+00
2.151996e+03,3.092193e+00,3.092193e+00,3.092193e+00,3.092193e+00
2.421192e+03,2.701648e+00,2.701648e+00,2.701648e+00,2.701648e+00
2.679538e+03,2.388142e+00,2.388142e+00,2.388142e+00,2.388142e+00
2.939184e+03,2.132874e+00,2.132874e+00,2.132874e+00,2.132874e+00
3.195256e+03,1.922521e+00,1.922521e+00,1.922521e+00,1.922521e+00
3.452375e+03,1.752642e+00,1.752642e+00,1.752642e+00,1.752642e+00
3.707680e+03,1.614330e+00,1.614330e+00,1.614330e+00,1.614330e+00
3.966148e+03,1.490415e+00,1.490415e+00,1.490415e+00,1.490415e+00
4.222023e+03,1.386421e+00,1.386421e+00,1.386421e+00,1.386421e+00
4.480405e+03,1.290972e+00,1.290972e+00,1.290972e+00,1.290972e+00
4.737375e+03,1.210082e+00,1.210082e+00,1.210082e+00,1.210082e+00
4.994821e+03,1.137719e+00,1.137719e+00,1.137719e+00,1.137719e+00
5.251302e+03,1.075096e+00,1.075096e+00,1.075096e+00,1.075096e+00
5.512316e+03,1.016686e+00,1.016686e+00,1.016686e+00,1.016686e+00
5.766277e+03,9.636456e-01,9.636456e-01,9.636456e-01,9.636456e-01
6.024776e+03,9.187295e-01,9.187294e-01,9.187294e-01,9.187294e-01
6.283252e+03,8.756971e-01,8.756971e-01,8.756971e-01,8.756971e-01
6.537111e+03,8.361018e-01,8.361018e-01,8.361018e-01,8.361018e-01
6.797960e+03,7.981884e-01,7.981884e-01,7.981884e-01,7.981884e-01
7.061296e+03,7.663226e-01,7.663226e-01,7.663226e-01,7.663226e-01
7.326582e+03,7.350647e-01,7.350647e-01,7.350647e-01,7.350647e-01
7.595222e+03,7.055629e-01,7.055629e-01,7.055629e-01,7.055629e-01
7.853126e+03,6.789081e-01,6.789081e-01,6.789081e-01,6.789081e-01
8.108925e+03,6.551599e-01,6.551599e-01,6.551599e-01,6.551599e-01
8.365443e+03,6.315502e-01,6.315502e-01,6.315502e-01,6.315502e-01
8.621800e+03,6.099045e-01,6.099045e-01,6.099045e-01,6.099045e-01
8.876680e+03,5.897648e-01,5.897648e-01,5.897648e-01,5.897648e-01
9.134058e+03,5.704435e-01,5.704435e-01,5.704435e-01,5.704435e-01
9.389283e+03,5.532532e-01,5.532532e-01,5.532532e-01,5.532532e-01
9.642785e+03,5.370728e-01,5.370728e-01,5.370728e-01,5.370728e-01
9.903760e+03,5.213627e-01,5.213627e-01,5.213627e-01,5.213627e-01
1.016084e+04,5.060746e-01,5.060746e-01,5.060746e-01,5.060746e-01
1.041881e+04,4.908056e-01,4.908056e-01,4.908056e-01,4.908056e-01
1.067649e+04,4.771453e-01,4.771453e-01,4.771453e-01,4.771453e-01
1.093668e+04,4.641162e-01,4.641162e-01,4.641162e-01,4.641162e-01
1.119370e+04,4.519562e-01,4.519562e-01,4.519562e-01,4.519562e-01
1.144989e+04,4.415764e-01,4.415764e-01,4.415764e-01,4.415764e-01
1.170689e+04,4.310999e-01,4.310999e-01,4.310999e-01,4.310999e-01
1.196304e+04,4.207122e-01,4.207122e-01,4.207122e-01,4.207122e-01
1.221680e+04,4.113085e-01,4.113085e-01,4.113085e-01,4.113085e-01
1.247480e+04,4.017940e-01,4.017940e-01,4.017940e-01,4.017940e-01
1.273723e+04,3.930461e-01,3.930461e-01,3.930461e-01,3.930461e-01
1.300046e+04,3.842328e-01,3.842328e-01,3.842328e-01,3.842328e-01
1.325702e+04,3.760486e-01,3.760486e-01,3.760486e-01,3.760486e-01
1.351703e+04,3.682431e-01,3.682431e-01,3.682431e-01,3.682431e-01
1.377436e+04,3.608538e-01,3.608537e-01,3.608537e-01,3.608537e-01
1.403138e+04,3.537098e-01,3.537098e-01,3.537098e-01,3.537098e-01
1.428756e+04,3.464593e-01,3.464593e-01,3.464593e-01,3.464593e-01
1.454885e+04,3.393654e-01,3.393654e-01,3.393654e-01,3.393654e-01
1.480496e+04,3.325929e-01,3.325929e-01,3.325929e-01,3.325929e-01
1.506568e+04,3.263360e-01,3.263360e-01,3.263360e-01,3.263360e-01
1.532439e+04,3.199777e-01,3.199777e-01,3.199777e-01,3.199777e-01
1.558155e+04,3.145718e-01,3.145718e-01,3.145718e-01,3.145718e-01
1.583838e+04,3.089172e-01,3.089172e-01,3.089172e-01,3.089172e-01
1.609477e+04,3.033804e-01,3.033804e-01,3.033804e-01,3.033804e-01
1.635044e+04,2.982600e-01,2.982600e-01,2.982600e-01,2.982600e-01
1.660799e+04,2.935133e-01,2.935133e-01,2.935133e-01,2.935133e-01
1.686914e+04,2.889600e-01,2.889600e-01,2.889600e-01,2.889600e-01
1.712772e+04,2.842855e-01,2.842855e-01,2.842855e-01,2.842855e-01
1.738483e+04,2.798095e-01,2.798095e-01,2.798095e-01,2.798095e-01
1.764022e+04,2.754712e-01,2.754712e-01,2.754712e-01,2.754712e-01
1.789703e+04,2.708339e-01,2.708339e-01,2.708339e-01,2.708339e-01
1.815228e+04,2.667814e-01,2.667814e-01,2.667814e-01,2.667814e-01
1.841341e+04,2.627475e-01,2.627475e-01,2.627475e-01,2.627475e-01
1.866800e+04,2.590262e-01,2.590262e-01,2.590262e-01,2.590262e-01
1.893087e+04,2.554922e-01,2.554922e-01,2.554922e-01,2.554922e-01
1.919168e+04,2.515780e-01,2.515780e-01,2.515780e-01,2.515780e-01
1.944748e+04,2.479358e-01,2.479358e-01,2.479358e-01,2.479358e-01
