timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.746852e+02,1.820294e+01,1.820294e+01,1.820294e+01,1.820294e+01
6.703383e+02,1.421880e+01,1.421880e+01,1.421880e+01,1.421880e+01
9.679967e+02,1.339142e+01,1.339142e+01,1.339142e+01,1.339142e+01
1.231221e+03,1.317951e+01,1.317951e+01,1.317951e+01,1.317951e+01
1.503443e+03,1.273914e+01,1.273914e+01,1.273914e+01,1.273914e+01
1.775737e+03,1.279432e+01,1.279432e+01,1.279432e+01,1.279432e+01
2.064201e+03,1.382070e+01,1.382070e+01,1.382070e+01,1.382070e+01
2.336548e+03,1.322265e+01,1.322265e+01,1.322265e+01,1.322265e+01
2.593159e+03,1.416841e+01,1.416841e+01,1.416841e+01,1.416841e+01
2.851338e+03,1.351790e+01,1.351790e+01,1.351790e+01,1.351790e+01
3.106410e+03,1.340355e+01,1.340355e+01,1.340355e+01,1.340355e+01
3.361882e+03,1.250284e+01,1.250284e+01,1.250284e+01,1.250284e+01
3.619567e+03,1.285462e+01,1.285462e+01,1.285462e+01,1.285462e+01
3.873525e+03,1.400713e+01,1.400713e+01,1.400713e+01,1.400713e+01
4.130751e+03,1.267702e+01,1.267702e+01,1.267702e+01,1.267702e+01
4.393470e+03,1.339334e+01,1.339334e+01,1.339334e+01,1.339334e+01
4.648594e+03,1.367664e+01,1.367664e+01,1.367664e+01,1.367664e+01
4.905486e+03,1.303266e+01,1.303266e+01,1.303266e+01,1.303266e+01
5.162107e+03,1.179618e+01,1.179618e+01,1.179618e+01,1.179618e+01
5.420757e+03,1.215703e+01,1.215703e+01,1.215703e+01,1.215703e+01
5.675390e+03,1.217758e+01,1.217758e+01,1.217758e+01,1.217758e+01
5.929903e+03,1.310370e+01,1.310370e+01,1.310370e+01,1.310370e+01
6.187591e+03,1.287801e+01,1.287801e+01,1.287801e+01,1.287801e+01
6.442399e+03,1.285669e+01,1.285669e+01,1.285669e+01,1.285669e+01
6.702449e+03,1.284513e+01,1.284513e+01,1.284513e+01,1.284513e+01
6.961832e+03,1.306525e+01,1.306525e+01,1.306525e+01,1.306525e+01
7.214723e+03,1.305006e+01,1.305006e+01,1.305006e+01,1.305006e+01
7.472958e+03,1.313181e+01,1.313181e+01,1.313181e+01,1.313181e+01
7.730208e+03,1.302326e+01,1.302326e+01,1.302326e+01,1.302326e+01
7.984132e+03,1.298121e+01,1.298121e+01,1.298121e+01,1.298121e+01
8.245963e+03,1.308764e+01,1.308764e+01,1.308764e+01,1.308764e+01
8.501671e+03,1.344182e+01,1.344182e+01,1.344182e+01,1.344182e+01
8.759228e+03,1.353810e+01,1.353810e+01,1.353810e+01,1.353810e+01
9.025203e+03,1.324428e+01,1.324428e+01,1.324428e+01,1.324428e+01
9.297117e+03,1.176197e+01,1.176196e+01,1.176196e+01,1.176196e+01
9.557105e+03,1.274067e+01,1.274067e+01,1.274067e+01,1.274067e+01
9.820496e+03,1.301804e+01,1.301804e+01,1.301804e+01,1.301804e+01
1.008130e+04,1.298571e+01,1.298571e+01,1.298571e+01,1.298571e+01
1.034695e+04,1.328496e+01,1.328496e+01,1.328496e+01,1.328496e+01
1.061740e+04,1.372519e+01,1.372519e+01,1.372519e+01,1.372519e+01
1.088858e+04,1.265101e+01,1.265101e+01,1.265101e+01,1.265101e+01
1.115243e+04,1.253019e+01,1.253019e+01,1.253019e+01,1.253019e+01
1.141543e+04,1.289827e+01,1.289828e+01,1.289828e+01,1.289828e+01
1.168269e+04,1.305493e+01,1.305493e+01,1.305493e+01,1.305493e+01
1.196451e+04,1.267850e+01,1.267850e+01,1.267850e+01,1.267850e+01
1.223490e+04,1.393450e+01,1.393450e+01,1.393450e+01,1.393450e+01
1.250552e+04,1.242687e+01,1.242687e+01,1.242687e+01,1.242687e+01
1.277113e+04,1.399572e+01,1.399572e+01,1.399572e+01,1.399572e+01
1.303640e+04,1.332154e+01,1.332154e+01,1.332154e+01,1.332154e+01
1.330080e+04,1.211300e+01,1.211300e+01,1.211300e+01,1.211300e+01
1.356762e+04,1.340275e+01,1.340275e+01,1.340275e+01,1.340275e+01
1.383238e+04,1.338130e+01,1.338130e+01,1.338130e+01,1.338130e+01
