timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
4.055654e+02,1.479813e+01,1.479813e+01,1.479813e+01,1.479813e+01
7.249781e+02,9.709955e+00,9.709955e+00,9.709955e+00,9.709955e+00
1.038666e+03,7.023369e+00,7.023369e+00,7.023369e+00,7.023369e+00
1.328689e+03,5.422596e+00,5.422596e+00,5.422596e+00,5.422596e+00
1.624303e+03,4.465125e+00,4.465125e+00,4.465125e+00,4.465125e+00
1.980987e+03,6.112873e+00,6.112873e+00,6.112873e+00,6.112873e+00
2.302826e+03,9.976227e+01,9.976227e+01,9.976227e+01,9.976227e+01
2.649557e+03,4.788359e+03,4.788359e+03,4.788359e+03,4.788359e+03
2.990758e+03,2.799778e+05,2.799778e+05,2.799778e+05,2.799778e+05
3.269437e+03,1.785746e+07,1.785746e+07,1.785746e+07,1.785746e+07
3.545358e+03,1.250006e+09,1.250006e+09,1.250006e+09,1.250006e+09
3.817603e+03,9.869604e+10,9.869604e+10,9.869604e+10,9.869604e+10
4.086145e+03,8.807465e+12,8.807465e+12,8.807465e+12,8.807465e+12
4.355841e+03,9.354446e+14,9.354445e+14,9.354445e+14,9.354445e+14
4.637479e+03,1.071202e+17,1.071202e+17,1.071202e+17,1.071202e+17
4.909118e+03,1.316701e+19,1.316701e+19,1.316701e+19,1.316701e+19
5.174064e+03,1.903307e+21,1.903307e+21,1.903307e+21,1.903307e+21
5.439819e+03,2.636924e+23,2.636924e+23,2.636924e+23,2.636924e+23
5.712746e+03,4.735045e+25,4.735045e+25,4.735045e+25,4.735045e+25
5.998553e+03,7.428290e+27,7.428291e+27,7.428291e+27,7.428291e+27
6.272526e+03,1.288031e+30,1.288031e+30,1.288031e+30,1.288031e+30
6.543832e+03,inf,inf,inf,inf
6.812157e+03,inf,inf,inf,inf
7.078465e+03,inf,inf,inf,inf
7.352477e+03,inf,inf,inf,inf
7.631553e+03,inf,inf,inf,inf
7.902942e+03,inf,inf,inf,inf
8.192257e+03,inf,inf,inf,inf
8.459142e+03,inf,inf,inf,inf
8.733985e+03,inf,inf,inf,inf
9.001229e+03,inf,inf,inf,inf
9.278241e+03,inf,inf,inf,inf
9.562642e+03,inf,inf,inf,inf
9.835467e+03,inf,inf,inf,inf
1.011410e+04,inf,inf,inf,inf
1.039176e+04,inf,inf,inf,inf
1.066209e+04,inf,inf,inf,inf
1.092748e+04,inf,inf,inf,inf
1.120596e+04,inf,inf,inf,inf
1.147855e+04,inf,inf,inf,inf
1.176164e+04,inf,inf,inf,inf
1.205732e+04,inf,inf,inf,inf
1.236026e+04,inf,inf,inf,inf
1.264266e+04,inf,inf,inf,inf
1.291519e+04,inf,inf,inf,inf
1.318522e+04,inf,inf,inf,inf
1.345611e+04,inf,inf,inf,inf
1.379661e+04,inf,inf,inf,inf
1.415046e+04,inf,inf,inf,inf
1.448734e+04,inf,inf,inf,inf
1.478129e+04,inf,inf,inf,inf
1.506928e+04,inf,inf,inf,inf
1.534937e+04,inf,inf,inf,inf
1.564165e+04,inf,inf,inf,inf
1.591674e+04,inf,inf,inf,inf
1.618892e+04,inf,inf,inf,inf
1.646428e+04,inf,inf,inf,inf
1.675179e+04,inf,inf,inf,inf
1.703288e+04,inf,inf,inf,inf
1.730973e+04,inf,inf,inf,inf
1.760392e+04,inf,inf,inf,inf
1.789670e+04,inf,inf,inf,inf
1.816076e+04,inf,inf,inf,inf
1.845191e+04,inf,inf,inf,inf
1.872709e+04,inf,inf,inf,inf
1.899701e+04,inf,inf,inf,inf
1.927058e+04,inf,inf,inf,inf
1.955174e+04,inf,inf,inf,inf
1.983075e+04,inf,inf,inf,inf
2.010905e+04,inf,inf,inf,inf
2.039536e+04,inf,inf,inf,inf
2.068767e+04,inf,inf,inf,inf
2.096505e+04,inf,inf,inf,inf
2.124258e+04,inf,inf,inf,inf
2.152949e+04,inf,inf,inf,inf
2.180000e+04,inf,inf,inf,inf
2.207693e+04,inf,inf,inf,inf
2.235007e+04,inf,inf,inf,inf
2.262736e+04,inf,inf,inf,inf
2.291957e+04,inf,inf,inf,inf
2.320746e+04,inf,inf,inf,inf
2.350249e+04,inf,inf,inf,inf
2.378854e+04,inf,inf,inf,inf
2.407537e+04,inf,inf,inf,inf
2.435430e+04,inf,inf,inf,inf
2.463378e+04,inf,inf,inf,inf
2.492491e+04,inf,inf,inf,inf
2.521617e+04,inf,inf,inf,inf
2.550517e+04,inf,inf,inf,inf
2.579596e+04,inf,inf,inf,inf
2.608332e+04,inf,inf,inf,inf
2.637168e+04,inf,inf,inf,inf
2.666738e+04,inf,inf,inf,inf
2.696487e+04,inf,inf,inf,inf
2.727595e+04,inf,inf,inf,inf
2.757566e+04,inf,inf,inf,inf
2.785592e+04,inf,inf,inf,inf
2.815164e+04,inf,inf,inf,inf
2.847823e+04,inf,inf,inf,inf
2.878732e+04,inf,inf,inf,inf
2.907152e+04,inf,inf,inf,inf
2.937139e+04,inf,inf,inf,inf
2.969164e+04,inf,inf,inf,inf
3.000478e+04,inf,inf,inf,inf
3.033312e+04,inf,inf,inf,inf
3.063163e+04,inf,inf,inf,inf
3.097479e+04,inf,inf,inf,inf
3.134107e+04,inf,inf,inf,inf
3.171531e+04,inf,inf,inf,inf
3.207012e+04,inf,inf,inf,inf
3.235383e+04,inf,inf,inf,inf
3.264369e+04,inf,inf,inf,inf
3.292584e+04,inf,inf,inf,inf
3.321109e+04,inf,inf,inf,inf
3.349104e+04,inf,inf,inf,inf
3.376433e+04,inf,inf,inf,inf
3.405032e+04,inf,inf,inf,inf
3.433013e+04,inf,inf,inf,inf
3.462641e+04,inf,inf,inf,inf
3.490553e+04,inf,inf,inf,inf
3.517738e+04,inf,inf,inf,inf
3.547713e+04,inf,inf,inf,inf
3.577148e+04,inf,inf,inf,inf
3.604678e+04,inf,inf,inf,inf
3.632694e+04,inf,inf,inf,inf
3.661870e+04,inf,inf,inf,inf
3.690029e+04,inf,inf,inf,inf
3.717181e+04,inf,inf,inf,inf
3.748275e+04,inf,inf,inf,inf
3.776682e+04,inf,inf,inf,inf
3.804594e+04,inf,inf,inf,inf
3.835145e+04,inf,inf,inf,inf
3.863767e+04,inf,inf,inf,inf
3.891396e+04,inf,inf,inf,inf
3.921928e+04,inf,inf,inf,inf
3.951464e+04,inf,inf,inf,inf
3.985728e+04,inf,inf,inf,inf
4.014541e+04,inf,inf,inf,inf
4.045143e+04,inf,inf,inf,inf
4.076482e+04,inf,inf,inf,inf
4.107125e+04,inf,inf,inf,inf
4.141199e+04,inf,inf,inf,inf
4.179450e+04,inf,inf,inf,inf
4.211768e+04,inf,inf,inf,inf
4.240970e+04,inf,inf,inf,inf
4.271171e+04,inf,inf,inf,inf
4.300856e+04,inf,inf,inf,inf
4.329760e+04,inf,inf,inf,inf
4.357721e+04,inf,inf,inf,inf
4.386461e+04,inf,inf,inf,inf
4.417845e+04,inf,inf,inf,inf
4.445284e+04,inf,inf,inf,inf
4.480465e+04,inf,inf,inf,inf
4.514835e+04,inf,inf,inf,inf
4.543091e+04,inf,inf,inf,inf
4.575654e+04,inf,inf,inf,inf
4.605462e+04,inf,inf,inf,inf
4.632707e+04,inf,inf,inf,inf
