timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
3.666227e+02,1.718269e+01,1.718269e+01,1.718269e+01,1.718269e+01
6.703456e+02,1.507370e+01,1.507369e+01,1.507369e+01,1.507369e+01
9.764485e+02,1.625707e+01,1.625707e+01,1.625707e+01,1.625707e+01
1.286404e+03,4.777044e+02,4.777044e+02,4.777044e+02,4.777044e+02
1.586927e+03,9.871726e+04,9.871726e+04,9.871726e+04,9.871726e+04
1.861450e+03,9.397896e+06,9.397896e+06,9.397896e+06,9.397896e+06
2.123824e+03,2.001714e+09,2.001714e+09,2.001714e+09,2.001714e+09
2.387339e+03,4.263743e+11,4.263743e+11,4.263743e+11,4.263743e+11
2.658057e+03,9.082024e+13,9.082024e+13,9.082024e+13,9.082024e+13
2.930647e+03,1.096575e+16,1.096575e+16,1.096575e+16,1.096575e+16
3.209384e+03,2.335770e+18,2.335770e+18,2.335770e+18,2.335770e+18
3.487181e+03,4.975328e+20,4.975328e+20,4.975328e+20,4.975328e+20
3.778383e+03,1.059775e+23,1.059775e+23,1.059775e+23,1.059775e+23
4.044688e+03,2.257383e+25,2.257383e+25,2.257383e+25,2.257383e+25
4.330685e+03,4.808362e+27,4.808362e+27,4.808362e+27,4.808362e+27
4.613801e+03,1.024209e+30,1.024209e+30,1.024209e+30,1.024209e+30
4.892351e+03,inf,inf,inf,inf
5.176301e+03,inf,inf,inf,inf
5.471333e+03,inf,inf,inf,inf
5.797403e+03,inf,inf,inf,inf
6.080076e+03,inf,inf,inf,inf
6.378887e+03,inf,inf,inf,inf
6.664096e+03,inf,inf,inf,inf
6.967485e+03,inf,inf,inf,inf
7.242421e+03,inf,inf,inf,inf
7.537127e+03,inf,inf,inf,inf
7.829369e+03,inf,inf,inf,inf
8.126742e+03,inf,inf,inf,inf
8.423984e+03,inf,inf,inf,inf
8.718439e+03,inf,inf,inf,inf
9.003262e+03,inf,inf,inf,inf
9.306473e+03,inf,inf,inf,inf
9.588544e+03,inf,inf,inf,inf
9.892863e+03,inf,inf,inf,inf
1.018649e+04,inf,inf,inf,inf
1.046277e+04,inf,inf,inf,inf
1.076841e+04,inf,inf,inf,inf
1.106608e+04,inf,inf,inf,inf
1.133814e+04,inf,inf,inf,inf
1.163871e+04,inf,inf,inf,inf
1.192992e+04,inf,inf,inf,inf
1.222140e+04,inf,inf,inf,inf
1.249705e+04,inf,inf,inf,inf
1.279830e+04,inf,inf,inf,inf
1.308726e+04,inf,inf,inf,inf
1.336912e+04,inf,inf,inf,inf
1.364389e+04,inf,inf,inf,inf
1.392870e+04,inf,inf,inf,inf
1.423510e+04,inf,inf,inf,inf
1.451633e+04,inf,inf,inf,inf
1.480372e+04,inf,inf,inf,inf
1.508271e+04,inf,inf,inf,inf
1.535822e+04,inf,inf,inf,inf
1.562577e+04,inf,inf,inf,inf
1.591431e+04,inf,inf,inf,inf
1.618732e+04,inf,inf,inf,inf
1.646457e+04,inf,inf,inf,inf
1.675047e+04,inf,inf,inf,inf
1.702934e+04,inf,inf,inf,inf
1.730289e+04,inf,inf,inf,inf
1.757226e+04,inf,inf,inf,inf
1.785895e+04,inf,inf,inf,inf
1.814187e+04,inf,inf,inf,inf
1.841407e+04,inf,inf,inf,inf
1.870026e+04,inf,inf,inf,inf
1.897831e+04,inf,inf,inf,inf
1.928834e+04,inf,inf,inf,inf
1.957242e+04,inf,inf,inf,inf
1.985189e+04,inf,inf,inf,inf
2.012905e+04,inf,inf,inf,inf
2.043927e+04,inf,inf,inf,inf
2.071972e+04,inf,inf,inf,inf
2.100473e+04,inf,inf,inf,inf
2.128509e+04,inf,inf,inf,inf
2.156246e+04,inf,inf,inf,inf
2.183084e+04,inf,inf,inf,inf
2.212255e+04,inf,inf,inf,inf
2.239977e+04,inf,inf,inf,inf
2.266986e+04,inf,inf,inf,inf
2.294664e+04,inf,inf,inf,inf
2.322484e+04,inf,inf,inf,inf
2.350063e+04,inf,inf,inf,inf
2.379723e+04,inf,inf,inf,inf
2.407595e+04,inf,inf,inf,inf
2.435606e+04,inf,inf,inf,inf
2.464507e+04,inf,inf,inf,inf
2.491601e+04,inf,inf,inf,inf
2.519743e+04,inf,inf,inf,inf
2.547731e+04,inf,inf,inf,inf
2.576364e+04,inf,inf,inf,inf
2.603995e+04,inf,inf,inf,inf
2.631773e+04,inf,inf,inf,inf
2.660099e+04,inf,inf,inf,inf
2.689548e+04,inf,inf,inf,inf
2.718027e+04,inf,inf,inf,inf
2.745767e+04,inf,inf,inf,inf
2.774369e+04,inf,inf,inf,inf
2.801740e+04,inf,inf,inf,inf
2.830867e+04,inf,inf,inf,inf
2.859159e+04,inf,inf,inf,inf
2.886834e+04,inf,inf,inf,inf
2.916592e+04,inf,inf,inf,inf
2.948242e+04,inf,inf,inf,inf
2.977468e+04,inf,inf,inf,inf
3.008149e+04,inf,inf,inf,inf
3.035906e+04,inf,inf,inf,inf
3.066278e+04,inf,inf,inf,inf
3.094730e+04,inf,inf,inf,inf
3.122539e+04,inf,inf,inf,inf
3.150436e+04,inf,inf,inf,inf
3.178042e+04,inf,inf,inf,inf
3.206484e+04,inf,inf,inf,inf
3.236905e+04,inf,inf,inf,inf
3.264939e+04,inf,inf,inf,inf
3.293381e+04,inf,inf,inf,inf
3.323065e+04,inf,inf,inf,inf
3.352736e+04,inf,inf,inf,inf
3.383040e+04,inf,inf,inf,inf
3.413469e+04,inf,inf,inf,inf
3.442631e+04,inf,inf,inf,inf
3.470298e+04,inf,inf,inf,inf
3.500125e+04,inf,inf,inf,inf
3.529029e+04,inf,inf,inf,inf
3.557455e+04,inf,inf,inf,inf
3.588073e+04,inf,inf,inf,inf
3.616558e+04,inf,inf,inf,inf
3.645138e+04,inf,inf,inf,inf
3.675791e+04,inf,inf,inf,inf
3.705786e+04,inf,inf,inf,inf
3.736473e+04,inf,inf,inf,inf
3.766142e+04,inf,inf,inf,inf
3.794633e+04,inf,inf,inf,inf
3.824237e+04,inf,inf,inf,inf
3.853957e+04,inf,inf,inf,inf
3.885564e+04,inf,inf,inf,inf
3.915408e+04,inf,inf,inf,inf
3.943839e+04,inf,inf,inf,inf
3.973736e+04,inf,inf,inf,inf
4.003090e+04,inf,inf,inf,inf
4.031104e+04,inf,inf,inf,inf
4.061354e+04,inf,inf,inf,inf
4.090962e+04,inf,inf,inf,inf
4.119270e+04,inf,inf,inf,inf
4.147740e+04,inf,inf,inf,inf
4.176902e+04,inf,inf,inf,inf
4.205813e+04,inf,inf,inf,inf
4.233519e+04,inf,inf,inf,inf
4.264007e+04,inf,inf,inf,inf
4.292708e+04,inf,inf,inf,inf
4.323379e+04,inf,inf,inf,inf
4.351880e+04,inf,inf,inf,inf
4.380306e+04,inf,inf,inf,inf
4.408967e+04,inf,inf,inf,inf
4.438298e+04,inf,inf,inf,inf
4.466606e+04,inf,inf,inf,inf
4.494975e+04,inf,inf,inf,inf
4.523122e+04,inf,inf,inf,inf
4.550607e+04,inf,inf,inf,inf
4.578903e+04,inf,inf,inf,inf
4.606429e+04,inf,inf,inf,inf
4.635040e+04,inf,inf,inf,inf
4.663907e+04,inf,inf,inf,inf
4.692776e+04,inf,inf,inf,inf
4.721742e+04,inf,inf,inf,inf
4.750693e+04,inf,inf,inf,inf
4.779500e+04,inf,inf,inf,inf
4.808095e+04,inf,inf,inf,inf
4.836725e+04,inf,inf,inf,inf
4.865850e+04,inf,inf,inf,inf
4.893082e+04,inf,inf,inf,inf
4.921115e+04,inf,inf,inf,inf
4.948808e+04,inf,inf,inf,inf
4.978200e+04,inf,inf,inf,inf
5.007292e+04,inf,inf,inf,inf
5.035125e+04,inf,inf,inf,inf
5.064086e+04,inf,inf,inf,inf
5.092367e+04,inf,inf,inf,inf
5.120233e+04,inf,inf,inf,inf
5.150221e+04,inf,inf,inf,inf
5.179045e+04,inf,inf,inf,inf
5.207096e+04,inf,inf,inf,inf
5.235912e+04,inf,inf,inf,inf
5.264503e+04,inf,inf,inf,inf
5.292507e+04,inf,inf,inf,inf
5.321238e+04,inf,inf,inf,inf
5.348744e+04,inf,inf,inf,inf
5.376848e+04,inf,inf,inf,inf
5.405818e+04,inf,inf,inf,inf
5.435551e+04,inf,inf,inf,inf
5.464258e+04,inf,inf,inf,inf
5.491859e+04,inf,inf,inf,inf
5.519709e+04,inf,inf,inf,inf
5.547213e+04,inf,inf,inf,inf
5.576257e+04,inf,inf,inf,inf
5.604415e+04,inf,inf,inf,inf
5.632321e+04,inf,inf,inf,inf
5.660585e+04,inf,inf,inf,inf
5.688669e+04,inf,inf,inf,inf
5.716294e+04,inf,inf,inf,inf
5.744693e+04,inf,inf,inf,inf
5.773636e+04,inf,inf,inf,inf
5.801438e+04,inf,inf,inf,inf
5.828567e+04,inf,inf,inf,inf
5.857211e+04,inf,inf,inf,inf
5.885365e+04,inf,inf,inf,inf
5.913099e+04,inf,inf,inf,inf
5.942080e+04,inf,inf,inf,inf
5.970601e+04,inf,inf,inf,inf
5.998437e+04,inf,inf,inf,inf
6.026865e+04,inf,inf,inf,inf
6.055631e+04,inf,inf,inf,inf
6.084320e+04,inf,inf,inf,inf
6.112345e+04,inf,inf,inf,inf
6.140275e+04,inf,inf,inf,inf
6.167947e+04,inf,inf,inf,inf
6.196699e+04,inf,inf,inf,inf
6.224819e+04,inf,inf,inf,inf
6.252321e+04,inf,inf,inf,inf
6.281007e+04,inf,inf,inf,inf
6.310228e+04,inf,inf,inf,inf
6.339607e+04,inf,inf,inf,inf
6.369903e+04,inf,inf,inf,inf
6.400322e+04,inf,inf,inf,inf
6.429091e+04,inf,inf,inf,inf
6.459480e+04,inf,inf,inf,inf
6.489698e+04,inf,inf,inf,inf
6.521196e+04,inf,inf,inf,inf
6.550231e+04,inf,inf,inf,inf
6.579945e+04,inf,inf,inf,inf
6.609893e+04,inf,inf,inf,inf
6.639731e+04,inf,inf,inf,inf
6.669511e+04,inf,inf,inf,inf
6.698527e+04,inf,inf,inf,inf
6.727810e+04,inf,inf,inf,inf
6.758480e+04,inf,inf,inf,inf
6.788332e+04,inf,inf,inf,inf
6.819679e+04,inf,inf,inf,inf
6.849256e+04,inf,inf,inf,inf
6.878212e+04,inf,inf,inf,inf
6.908583e+04,inf,inf,inf,inf
6.937710e+04,inf,inf,inf,inf
6.968903e+04,inf,inf,inf,inf
6.998507e+04,inf,inf,inf,inf
7.026161e+04,inf,inf,inf,inf
7.055804e+04,inf,inf,inf,inf
7.086044e+04,inf,inf,inf,inf
7.114355e+04,inf,inf,inf,inf
7.143241e+04,inf,inf,inf,inf
7.172171e+04,inf,inf,inf,inf
7.200003e+04,inf,inf,inf,inf
7.229173e+04,inf,inf,inf,inf
7.257440e+04,inf,inf,inf,inf
7.287410e+04,inf,inf,inf,inf
7.315428e+04,inf,inf,inf,inf
7.344455e+04,inf,inf,inf,inf
7.373136e+04,inf,inf,inf,inf
7.402252e+04,inf,inf,inf,inf
7.430284e+04,inf,inf,inf,inf
7.458049e+04,inf,inf,inf,inf
7.487775e+04,inf,inf,inf,inf
7.516534e+04,inf,inf,inf,inf
7.544930e+04,inf,inf,inf,inf
7.575662e+04,inf,inf,inf,inf
7.604617e+04,inf,inf,inf,inf
7.634786e+04,inf,inf,inf,inf
7.663755e+04,inf,inf,inf,inf
7.693631e+04,inf,inf,inf,inf
7.724425e+04,inf,inf,inf,inf
7.754902e+04,inf,inf,inf,inf
7.785267e+04,inf,inf,inf,inf
7.816550e+04,inf,inf,inf,inf
7.847086e+04,inf,inf,inf,inf
7.876794e+04,inf,inf,inf,inf
7.905724e+04,inf,inf,inf,inf
7.936827e+04,inf,inf,inf,inf
7.966960e+04,inf,inf,inf,inf
7.997906e+04,inf,inf,inf,inf
8.027291e+04,inf,inf,inf,inf
8.056632e+04,inf,inf,inf,inf
8.088113e+04,inf,inf,inf,inf
8.118158e+04,inf,inf,inf,inf
8.147665e+04,inf,inf,inf,inf
8.177373e+04,inf,inf,inf,inf
8.206657e+04,inf,inf,inf,inf
8.237296e+04,inf,inf,inf,inf
8.267245e+04,inf,inf,inf,inf
8.296898e+04,inf,inf,inf,inf
8.326087e+04,inf,inf,inf,inf
8.355060e+04,inf,inf,inf,inf
8.386885e+04,inf,inf,inf,inf
8.417524e+04,inf,inf,inf,inf
8.447646e+04,inf,inf,inf,inf
8.476978e+04,inf,inf,inf,inf
8.505681e+04,inf,inf,inf,inf
8.536781e+04,inf,inf,inf,inf
8.566416e+04,inf,inf,inf,inf
8.596429e+04,inf,inf,inf,inf
8.625715e+04,inf,inf,inf,inf
8.654862e+04,inf,inf,inf,inf
8.685794e+04,inf,inf,inf,inf
8.715124e+04,inf,inf,inf,inf
8.744140e+04,inf,inf,inf,inf
8.774942e+04,inf,inf,inf,inf
8.804298e+04,inf,inf,inf,inf
8.834834e+04,inf,inf,inf,inf
8.863919e+04,inf,inf,inf,inf
8.893686e+04,inf,inf,inf,inf
8.923330e+04,inf,inf,inf,inf
8.953835e+04,inf,inf,inf,inf
8.983637e+04,inf,inf,inf,inf
9.013015e+04,inf,inf,inf,inf
9.044254e+04,inf,inf,inf,inf
9.073018e+04,inf,inf,inf,inf
