timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
8.672830e+01,2.759280e+01,2.759280e+01,2.759280e+01,2.759280e+01
1.599258e+02,1.829241e+01,1.829241e+01,1.829241e+01,1.829241e+01
1.950139e+02,1.393031e+01,1.393031e+01,1.393031e+01,1.393031e+01
2.200891e+02,1.116529e+01,1.116529e+01,1.116529e+01,1.116529e+01
2.483694e+02,9.297263e+00,9.297263e+00,9.297263e+00,9.297263e+00
2.742078e+02,7.981060e+00,7.981060e+00,7.981060e+00,7.981060e+00
3.006838e+02,7.005632e+00,7.005631e+00,7.005631e+00,7.005631e+00
3.312257e+02,6.233144e+00,6.233144e+00,6.233144e+00,6.233144e+00
3.608534e+02,5.608654e+00,5.608654e+00,5.608654e+00,5.608654e+00
3.858841e+02,5.115777e+00,5.115777e+00,5.115777e+00,5.115777e+00
4.115117e+02,4.680056e+00,4.680056e+00,4.680056e+00,4.680056e+00
4.359728e+02,4.308030e+00,4.308030e+00,4.308030e+00,4.308030e+00
4.612898e+02,4.008470e+00,4.008470e+00,4.008470e+00,4.008470e+00
4.868091e+02,3.743117e+00,3.743117e+00,3.743117e+00,3.743117e+00
5.091504e+02,3.509433e+00,3.509433e+00,3.509433e+00,3.509433e+00
5.320360e+02,3.302556e+00,3.302556e+00,3.302556e+00,3.302556e+00
5.542556e+02,3.118258e+00,3.118258e+00,3.118258e+00,3.118258e+00
5.772097e+02,2.957915e+00,2.957915e+00,2.957915e+00,2.957915e+00
5.984486e+02,2.806501e+00,2.806501e+00,2.806501e+00,2.806501e+00
6.209958e+02,2.676837e+00,2.676837e+00,2.676837e+00,2.676837e+00
6.421948e+02,2.554701e+00,2.554701e+00,2.554701e+00,2.554701e+00
6.648052e+02,2.442779e+00,2.442779e+00,2.442779e+00,2.442779e+00
6.895487e+02,2.337284e+00,2.337284e+00,2.337284e+00,2.337284e+00
7.117830e+02,2.245949e+00,2.245949e+00,2.245949e+00,2.245949e+00
7.347980e+02,2.158431e+00,2.158431e+00,2.158431e+00,2.158431e+00
7.559962e+02,2.074423e+00,2.074423e+00,2.074423e+00,2.074423e+00
7.785628e+02,2.004290e+00,2.004290e+00,2.004290e+00,2.004290e+00
8.008588e+02,1.936261e+00,1.936260e+00,1.936260e+00,1.936260e+00
8.232124e+02,1.868937e+00,1.868937e+00,1.868937e+00,1.868937e+00
8.444310e+02,1.810010e+00,1.810010e+00,1.810010e+00,1.810010e+00
8.664788e+02,1.753460e+00,1.753460e+00,1.753460e+00,1.753460e+00
8.902029e+02,1.697442e+00,1.697442e+00,1.697442e+00,1.697442e+00
9.129541e+02,1.649516e+00,1.649516e+00,1.649516e+00,1.649516e+00
9.380600e+02,1.602557e+00,1.602557e+00,1.602557e+00,1.602557e+00
9.594132e+02,1.558266e+00,1.558266e+00,1.558266e+00,1.558266e+00
9.806074e+02,1.517254e+00,1.517254e+00,1.517254e+00,1.517254e+00
1.003740e+03,1.477763e+00,1.477763e+00,1.477763e+00,1.477763e+00
1.025129e+03,1.440201e+00,1.440201e+00,1.440201e+00,1.440201e+00
1.046552e+03,1.404058e+00,1.404058e+00,1.404058e+00,1.404058e+00
1.069499e+03,1.370150e+00,1.370150e+00,1.370150e+00,1.370150e+00
1.091384e+03,1.337244e+00,1.337244e+00,1.337244e+00,1.337244e+00
1.115396e+03,1.306237e+00,1.306237e+00,1.306237e+00,1.306237e+00
1.137564e+03,1.276338e+00,1.276338e+00,1.276338e+00,1.276338e+00
1.158766e+03,1.248926e+00,1.248926e+00,1.248926e+00,1.248926e+00
1.179987e+03,1.222481e+00,1.222481e+00,1.222481e+00,1.222481e+00
1.201922e+03,1.195988e+00,1.195988e+00,1.195988e+00,1.195988e+00
1.225658e+03,1.170086e+00,1.170086e+00,1.170086e+00,1.170086e+00
1.247466e+03,1.147454e+00,1.147454e+00,1.147454e+00,1.147454e+00
1.269291e+03,1.124110e+00,1.124110e+00,1.124110e+00,1.124110e+00
1.290498e+03,1.101848e+00,1.101848e+00,1.101848e+00,1.101848e+00
1.311736e+03,1.080946e+00,1.080946e+00,1.080946e+00,1.080946e+00
1.335901e+03,1.059832e+00,1.059832e+00,1.059832e+00,1.059832e+00
1.358007e+03,1.040173e+00,1.040173e+00,1.040173e+00,1.040173e+00
1.380750e+03,1.021666e+00,1.021666e+00,1.021666e+00,1.021666e+00
