timestamp,avg_L2_error,red_L2_error,green_L2_error,blue_L2_error
1.245724e+02,5.682811e+01,5.682812e+01,5.682812e+01,5.682812e+01
2.665572e+02,5.640066e+01,5.640066e+01,5.640066e+01,5.640066e+01
3.206951e+02,5.534065e+01,5.534065e+01,5.534065e+01,5.534065e+01
3.509891e+02,5.663293e+01,5.663293e+01,5.663293e+01,5.663293e+01
3.802135e+02,5.687343e+01,5.687343e+01,5.687343e+01,5.687343e+01
4.082893e+02,5.792990e+01,5.792990e+01,5.792990e+01,5.792990e+01
4.385992e+02,5.548880e+01,5.548880e+01,5.548880e+01,5.548880e+01
4.671291e+02,5.589904e+01,5.589904e+01,5.589904e+01,5.589904e+01
4.910418e+02,5.550880e+01,5.550880e+01,5.550880e+01,5.550880e+01
5.131581e+02,5.764775e+01,5.764775e+01,5.764775e+01,5.764775e+01
5.359988e+02,5.655713e+01,5.655713e+01,5.655713e+01,5.655713e+01
5.574412e+02,5.479606e+01,5.479606e+01,5.479606e+01,5.479606e+01
5.795109e+02,5.747084e+01,5.747084e+01,5.747084e+01,5.747084e+01
6.019235e+02,5.722097e+01,5.722097e+01,5.722097e+01,5.722097e+01
6.255630e+02,5.850761e+01,5.850761e+01,5.850761e+01,5.850761e+01
6.482195e+02,5.574031e+01,5.574031e+01,5.574031e+01,5.574031e+01
6.693372e+02,5.547774e+01,5.547775e+01,5.547775e+01,5.547775e+01
6.914808e+02,5.710290e+01,5.710290e+01,5.710290e+01,5.710290e+01
7.123871e+02,5.603328e+01,5.603327e+01,5.603327e+01,5.603327e+01
7.353420e+02,5.390933e+01,5.390933e+01,5.390933e+01,5.390933e+01
7.564786e+02,5.594597e+01,5.594597e+01,5.594597e+01,5.594597e+01
7.780272e+02,6.032016e+01,6.032016e+01,6.032016e+01,6.032016e+01
8.005204e+02,5.583532e+01,5.583532e+01,5.583532e+01,5.583532e+01
8.222262e+02,5.578918e+01,5.578918e+01,5.578918e+01,5.578918e+01
8.472467e+02,5.681805e+01,5.681805e+01,5.681805e+01,5.681805e+01
8.688909e+02,5.529901e+01,5.529901e+01,5.529901e+01,5.529901e+01
8.908693e+02,5.483028e+01,5.483028e+01,5.483028e+01,5.483028e+01
9.118460e+02,5.617165e+01,5.617165e+01,5.617165e+01,5.617165e+01
9.340898e+02,5.434067e+01,5.434067e+01,5.434067e+01,5.434067e+01
9.581730e+02,5.728926e+01,5.728926e+01,5.728926e+01,5.728926e+01
9.789638e+02,5.465924e+01,5.465924e+01,5.465924e+01,5.465924e+01
9.997341e+02,5.516158e+01,5.516158e+01,5.516158e+01,5.516158e+01
1.020910e+03,5.474154e+01,5.474154e+01,5.474154e+01,5.474154e+01
1.041536e+03,5.600978e+01,5.600978e+01,5.600978e+01,5.600978e+01
1.065224e+03,5.760244e+01,5.760244e+01,5.760244e+01,5.760244e+01
1.088966e+03,5.670870e+01,5.670870e+01,5.670870e+01,5.670870e+01
1.109764e+03,5.555374e+01,5.555374e+01,5.555374e+01,5.555374e+01
1.130471e+03,5.538805e+01,5.538805e+01,5.538805e+01,5.538805e+01
1.152180e+03,5.376537e+01,5.376537e+01,5.376537e+01,5.376537e+01
1.174915e+03,5.516906e+01,5.516906e+01,5.516906e+01,5.516906e+01
1.195552e+03,5.508829e+01,5.508829e+01,5.508829e+01,5.508829e+01
1.216491e+03,5.702160e+01,5.702160e+01,5.702160e+01,5.702160e+01
1.237406e+03,5.818922e+01,5.818922e+01,5.818922e+01,5.818922e+01
1.258588e+03,5.683482e+01,5.683482e+01,5.683482e+01,5.683482e+01
1.282234e+03,5.599231e+01,5.599231e+01,5.599231e+01,5.599231e+01
1.303989e+03,5.625375e+01,5.625375e+01,5.625375e+01,5.625375e+01
1.324929e+03,5.933261e+01,5.933261e+01,5.933261e+01,5.933261e+01
1.345711e+03,5.593332e+01,5.593332e+01,5.593332e+01,5.593332e+01
1.368105e+03,5.622136e+01,5.622135e+01,5.622135e+01,5.622135e+01
1.392629e+03,5.665627e+01,5.665627e+01,5.665627e+01,5.665627e+01
1.413920e+03,5.615383e+01,5.615383e+01,5.615383e+01,5.615383e+01
1.435678e+03,5.513574e+01,5.513574e+01,5.513574e+01,5.513574e+01
1.457880e+03,5.632129e+01,5.632129e+01,5.632129e+01,5.632129e+01
1.480348e+03,5.680429e+01,5.680429e+01,5.680429e+01,5.680429e+01
1.504350e+03,5.489482e+01,5.489482e+01,5.489482e+01,5.489482e+01
